Campanha,Veiculo,Publico,Modalidade,Inicio,Termino,Flights,PlanInv,RealInv,RealInvExcl,PlanImp,RealImp,PlanCli,RealCli,Pac_Inv,Pac_Imp,Pac_Cli
Cashback,Meta Ads,Socios,Regular,2024-05-28,2024-06-07,1,64600.0,64597.44,58736.3,6460000.0,3904844.0,12920.0,9711.0,0.9999603715170279,0.6044650154798762,0.7516253869969041
Feira de Santana,Meta Ads,Nao Socios,Inauguracao,2024-06-01,2024-06-30,1,13526.400390625,10144.8,9737.09,2254400.0,4825132.0,4508.0,4128.0,0.7499999783409671,2.140317601135557,0.9157054125998225
Feira de Santana,Youtube Ads,Nao Socios,Inauguracao,2024-06-01,2024-06-30,1,13440.0,13438.9003,12881.6004,1680000.0,1074215.0,5033.0,2346.0,0.9999181770833333,0.6394136904761905,0.466123584343334
Fortaleza,Meta Ads,Nao Socios,Inauguracao,2024-06-01,2024-06-30,1,4950.0,4949.690000000001,4762.880000000001,990000.0,3486531.0,495.0,2295.0,0.999937373737374,3.521748484848485,4.636363636363637
Fortaleza,Youtube Ads,Nao Socios,Inauguracao,2024-06-01,2024-06-30,1,4200.0,4200.2319,4026.3007,420000.0,462621.0,210.0,180.0,1.0000552142857142,1.1014785714285715,0.8571428571428571
Impulsionamentos,Meta Ads,Socios,Regular,2024-06-01,2024-06-30,1,74500.0,74500.00000000001,68943.42000000001,7450000.0,6827257.0,37250.0,39765.0,1.0000000000000002,0.9164103355704698,1.06751677852349
Impulsionamentos,Tiktok Ads,Socios,Regular,2024-06-01,2024-06-30,1,46000.0,22325.39,19121.43,4600000.0,1251351.0,23000.0,2679.0,0.48533456521739127,0.2720328260869565,0.11647826086956521
Joao Pessoa,Meta Ads,Nao Socios,Inauguracao,2024-06-01,2024-06-30,1,22616.80078125,22616.79,21815.210000000003,5654200.0,9394843.0,17005.0,8586.0,0.9999995233079115,1.661568922217113,0.5049103204939723
Joao Pessoa,Meta Ads,Socios,Inauguracao,2024-06-01,2024-06-30,1,3060.0,3060.0000000000005,2950.4700000000003,170000.0,213135.0,1700.0,766.0,1.0000000000000002,1.253735294117647,0.4505882352941176
Joao Pessoa,Tiktok Ads,Nao Socios,Regular,2024-06-01,2024-06-30,1,11919.0,11910.150000000001,11161.61,2383800.0,709911.0,11919.0,2782.0,0.9992574880442991,0.29780644349358165,0.2334088430237436
Joao Pessoa,Youtube Ads,Nao Socios,Inauguracao,2024-06-01,2024-06-30,1,0.0,3966.9993000000004,3810.3302000000003,0.0,524497.0,0.0,1122.0,,,
Joao Pessoa,Youtube Ads,Socios,Inauguracao,2024-06-01,2024-06-30,1,3570.0,1371.1109999999999,1371.0053999999998,170000.0,32665.0,510.0,210.0,0.3840647058823529,0.19214705882352942,0.4117647058823529
