Campanha,Veiculo,Soma de Investimento_plan,Soma de Impressoes_plan,Soma de Cliques_plan,Soma de Investimento_real,Soma de Impressoes_real,Soma de Cliques_real,pacing_investimento,pacing_impressoes,pacing_cliques
Cashback,Meta Ads,105640.0,8620000,17240,105637.44,8336345.0,17726.0,0.9999757667550171,0.9670933874709977,1.0281902552204176
Cashback Resgate,Meta Ads,26867.51953125,392760,2355,25004.4,534623.0,2385.0,0.9306553204852804,1.3611951318871576,1.0127388535031847
Especial Cabelos,Meta Ads,5000.0,1250000,1872,5000.0,1785118.0,1979.0,1.0,1.4280944,1.0571581196581197
Fds1,Meta Ads,76000.0,8360000,20900,76000.0,6202111.0,12683.0,1.0,0.7418793062200957,0.6068421052631578
Fds2,Meta Ads,19186.19921875,1279080,3197,19186.2,1267473.0,2519.0,1.000000040719373,0.9909255089595647,0.7879261807944948
Fds2 Ofertasbr,Meta Ads,24547.130859375,1636475,4091,24547.13,1875971.0,3496.0,0.9999999649908169,1.146348706824119,0.8545587875824981
Fds3,Meta Ads,19186.19921875,1279080,3197,19186.2,874994.0,1718.0,1.000000040719373,0.6840807455358539,0.5373787926180794
Fds3 Ofertasbr,Meta Ads,24547.130859375,1636475,4091,24547.13,3046794.0,4472.0,0.9999999649908169,1.8618029606318458,1.0931312637496944
Feira de Santana,Meta Ads,27052.80078125,4508800,9016,23671.2,10802427.0,8635.0,0.8749999747311284,2.395854107523066,0.9577417923691216
Feira de Santana,Youtube Ads,26880.0,3360000,10066,26876.1777,2382986.0,5703.0,0.9998578013392857,0.7092220238095238,0.5665606993840652
Fortaleza,Meta Ads,16500.0,3300000,1650,16499.99,11609195.0,6093.0,0.9999993939393941,3.517937878787879,3.692727272727273
Fortaleza,Youtube Ads,12600.0,1260000,630,12599.1183,1449376.0,724.0,0.9999300238095238,1.1502984126984126,1.1492063492063491
Freeshop,Meta Ads,130157.5625,37485853,353602,166957.62,42784676.0,40607.0,1.2827346855085735,1.1413552734147465,0.11483815136792212
Impulsionamentos,Meta Ads,107166.669921875,10716667,53583,103921.98,9809224.0,71152.0,0.9697229565475871,0.9153241394922507,1.3278838437564153
Impulsionamentos,Tiktok Ads,62333.330078125,5688888,28444,35380.1,2110917.0,4723.0,0.5675952168070697,0.37105968688432606,0.16604556321192518
Inauguracao,Tiktok Ads,24797.5,3542500,18233,0.0,0.0,0.0,0.0,0.0,0.0
Joao Pessoa,Meta Ads,25676.80078125,5824200,18705,25676.79,9607978.0,9352.0,0.9999995801170835,1.6496648466742214,0.4999732691793638
Joao Pessoa,Tiktok Ads,11919.0,2383800,11919,11910.15,709911.0,2782.0,0.999257488044299,0.29780644349358165,0.2334088430237436
Joao Pessoa,Youtube Ads,3570.0,170000,510,5338.1103,557162.0,1332.0,1.4952689915966388,3.277423529411765,2.611764705882353
Joao Pessoa - Não Pulavel,Youtube Ads,,0,0,5949.3076,558959.0,694.0,,,
Maceio,Meta Ads,44787.599609375,8791200,6711,74240.53,20247237.0,18445.0,1.6576135056914252,2.303125511875512,2.7484726568320665
Maceio,Youtube Ads,41580.0,3643200,2593,41576.4918,3516732.0,13324.0,0.9999156277056278,0.9652865612648222,5.138449672194369
Mega Day,Meta Ads,101840.0,9880000,24700,101840.0,6010285.0,39835.0,1.0,0.6083284412955465,1.6127530364372469
Oportunidades Incriveis,Meta Ads,45000.0,4500000,11250,45000.0,6849360.0,14106.0,1.0,1.52208,1.2538666666666667
Uberlandia,Meta Ads,26826.48046875,4618710,9237,26826.42,12369356.0,8427.0,0.9999977459305528,2.6780975640384437,0.9123091912958753
Uberlandia,Youtube Ads,23963.16015625,2995395,8974,23961.9949,2132256.0,4363.0,0.9999513730141434,0.7118446815862348,0.4861823044350345
