Base,campaign_name,Campanha,Soma de Cliques_plan,Data,Data de Inicio,Data de Termino,Soma de Dias_Veiculacao,Soma de Impressoes_plan,Soma de Investimento_plan,Modalidade,Objetivo,Publico,Veiculo,flight_id,den_invalido,Soma de Investimento_real,Soma de Impressoes_real,Soma de Cliques_real,pacing_investimento,pacing_impressoes,pacing_cliques
Planejado,,Cashback,12920,2024-05-28,2024-05-28,2024-06-07,10.0,6460000,64600.0,Regular,Alcance,Socios,Meta Ads,0,0,64597.44,3904844.0,9711.0,0.9999603715170279,0.6044650154798762,0.7516253869969041
Planejado,,Cashback,4320,2024-07-01,2024-07-01,2024-07-07,6.0,2160000,41040.0,Regular,Alcance,Socios,Meta Ads,1,0,41040.0,4431501.0,8015.0,1.0,2.0516208333333332,1.8553240740740742
Planejado,,Cashback Resgate,1546,2024-06-10,2024-06-10,2024-06-30,20.0,257760,19847.51953125,Regular,Alcance,Socios,Meta Ads,2,0,17984.4,283989.0,1224.0,0.9061283437299805,1.1017574487895716,0.7917205692108668
Planejado,,Cashback Resgate,809,2024-07-08,2024-07-08,2024-07-31,23.0,135000,7020.0,Regular,Alcance,Socios,Meta Ads,3,0,7020.0,250634.0,1161.0,1.0,1.856548148148148,1.435105067985167
Planejado,,Especial Cabelos,1872,2024-06-11,2024-06-11,2024-06-23,12.0,1250000,5000.0,Trade,Alcance,Socios,Meta Ads,4,0,5000.0,1785118.0,1979.0,1.0,1.4280944,1.0571581196581197
Planejado,,Fds1,9500,2024-06-06,2024-06-06,2024-06-09,3.0,3800000,30400.0,Regular,Alcance,Socios,Meta Ads,5,0,30400.0,2021984.0,5190.0,1.0,0.5321010526315789,0.5463157894736842
Planejado,,Fds1,11400,2024-07-04,2024-07-04,2024-07-07,3.0,4560000,45600.0,Regular,Alcance,Socios,Meta Ads,6,0,45600.0,4180127.0,7493.0,1.0,0.9166945175438597,0.6572807017543859
Planejado,,Fds2,3197,2024-06-13,2024-06-13,2024-06-19,6.0,1279080,19186.19921875,Regular,Alcance,Socios,Meta Ads,7,0,19186.2,1267473.0,2519.0,1.000000040719373,0.9909255089595647,0.7879261807944948
Planejado,,Fds2 Ofertasbr,4091,2024-06-13,2024-06-13,2024-06-16,3.0,1636475,24547.130859375,Regular,Alcance,Socios,Meta Ads,8,0,24547.13,1875971.0,3496.0,0.9999999649908169,1.146348706824119,0.8545587875824981
Planejado,,Fds3,3197,2024-06-20,2024-06-20,2024-06-23,3.0,1279080,19186.19921875,Regular,Alcance,Socios,Meta Ads,9,0,19186.2,874994.0,1718.0,1.000000040719373,0.6840807455358539,0.5373787926180794
Planejado,,Fds3 Ofertasbr,4091,2024-06-20,2024-06-20,2024-06-23,3.0,1636475,24547.130859375,Regular,Alcance,Socios,Meta Ads,10,0,24547.13,3046794.0,4472.0,0.9999999649908169,1.8618029606318458,1.0931312637496944
Planejado,,Feira de Santana,4508,2024-06-01,2024-06-01,2024-06-30,29.0,2254400,13526.400390625,Inauguracao,Alcance,Nao Socios,Meta Ads,11,0,10144.8,4825132.0,4128.0,0.7499999783409671,2.140317601135557,0.9157054125998225
Planejado,,Feira de Santana,5033,2024-06-01,2024-06-01,2024-06-30,29.0,1680000,13440.0,Inauguracao,Alcance,Nao Socios,Youtube Ads,12,0,13438.9003,1074215.0,2346.0,0.9999181770833333,0.6394136904761905,0.466123584343334
Planejado,,Feira de Santana,4508,2024-07-01,2024-07-01,2024-07-31,30.0,2254400,13526.400390625,Inauguracao,Alcance,Nao Socios,Meta Ads,13,0,13526.4,5977295.0,4507.0,0.9999999711212896,2.651390613910575,0.9997781721384206
Planejado,,Feira de Santana,5033,2024-07-01,2024-07-01,2024-07-31,30.0,1680000,13440.0,Inauguracao,Alcance,Nao Socios,Youtube Ads,14,0,13437.277399999999,1308771.0,3357.0,0.999797425595238,0.7790303571428572,0.6669978144247963
Planejado,,Fortaleza,495,2024-06-01,2024-06-01,2024-06-30,29.0,990000,4950.0,Inauguracao,Alcance,Nao Socios,Meta Ads,15,0,4949.69,3486531.0,2295.0,0.9999373737373737,3.521748484848485,4.636363636363637
Planejado,,Fortaleza,210,2024-06-01,2024-06-01,2024-06-30,29.0,420000,4200.0,Inauguracao,Alcance,Nao Socios,Youtube Ads,16,0,4200.2319,462621.0,180.0,1.0000552142857142,1.1014785714285715,0.8571428571428571
Planejado,,Fortaleza,1155,2024-07-01,2024-07-01,2024-07-31,30.0,2310000,11550.0,Inauguracao,Alcance,Nao Socios,Meta Ads,17,0,11550.300000000001,8122664.0,3798.0,1.000025974025974,3.516304761904762,3.2883116883116883
Planejado,,Fortaleza,420,2024-07-01,2024-07-01,2024-07-31,30.0,840000,8400.0,Inauguracao,Alcance,Nao Socios,Youtube Ads,18,0,8398.8864,986755.0,544.0,0.9998674285714285,1.1747083333333332,1.2952380952380953
Planejado,,Freeshop,330858,2024-06-17,2024-06-17,2024-06-30,13.0,33085853,99257.5625,Regular,Alcance,Nao Socios,Meta Ads,19,0,1865.5700000000002,1086315.0,707.0,0.018795242931741347,0.03283321726660637,0.0021368683846242193
Planejado,,Freeshop,19000,2024-06-17,2024-06-17,2024-06-30,13.0,1900000,20900.0,Regular,Alcance,Socios,Meta Ads,20,0,0.0,0.0,0.0,0.0,0.0,0.0
Planejado,,Freeshop,1872,2024-06-18,2024-06-18,2024-06-30,12.0,1250000,5000.0,Trade,Alcance,Socios,Meta Ads,21,0,163274.05,41025327.0,39057.0,32.65481,32.8202616,20.86378205128205
Planejado,,Freeshop,1872,2024-06-18,2024-06-18,2024-07-08,20.0,1250000,5000.0,Trade,Alcance,Socios,Meta Ads,22,0,1818.0,673034.0,843.0,0.3636,0.5384272,0.45032051282051283
Planejado,,Impulsionamentos,37250,2024-06-01,2024-06-01,2024-06-30,29.0,7450000,74500.0,Regular,Engajamento,Socios,Meta Ads,23,0,74500.0,6827257.0,39765.0,1.0,0.9164103355704698,1.06751677852349
Planejado,,Impulsionamentos,23000,2024-06-01,2024-06-01,2024-06-30,29.0,4600000,46000.0,Regular,Video Views,Socios,Tiktok Ads,24,0,22325.39,1251351.0,2679.0,0.48533456521739127,0.2720328260869565,0.11647826086956521
Planejado,,Impulsionamentos,16333,2024-07-01,2024-07-01,2024-07-31,30.0,3266667,32666.669921875,Regular,Engajamento,Socios,Meta Ads,25,0,29421.98,2981967.0,31387.0,0.9006727673915051,0.9128469476686788,1.9216922794342741
Planejado,,Impulsionamentos,5444,2024-07-01,2024-07-01,2024-07-31,30.0,1088888,16333.330078125,Regular,Video Views,Socios,Tiktok Ads,26,0,13054.710000000001,859566.0,2044.0,0.7992681184765862,0.7893979913452991,0.37545922116091107
Planejado,,Inauguracao,18233,2024-07-19,2024-07-19,2024-07-31,12.0,3542500,24797.5,Regular,Alcance,Nao Socios,Tiktok Ads,27,0,0.0,0.0,0.0,0.0,0.0,0.0
