Base,campaign_name,Campanha,Soma de Cliques,Data,Data de Inicio,Data de Termino,Soma de Dias_Veiculacao,Soma de Impressoes,Soma de Investimento,Modalidade,Objetivo,Publico,Veiculo,real_id
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,13,2023-01-04,,,,10454,79.12,Acaocashback Janeiro,Alcance,N/a,Meta Ads,0
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,26,2023-01-05,,,,21188,117.65,Acaocashback Janeiro,Alcance,N/a,Meta Ads,1
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,10,2023-01-06,,,,9843,64.87,Acaocashback Janeiro,Alcance,N/a,Meta Ads,2
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,11,2023-01-07,,,,8195,68.93,Acaocashback Janeiro,Alcance,N/a,Meta Ads,3
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,15,2023-01-08,,,,7188,73.2,Acaocashback Janeiro,Alcance,N/a,Meta Ads,4
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,3,2023-01-09,,,,1729,17.38,Acaocashback Janeiro,Alcance,N/a,Meta Ads,5
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,15,2023-01-11,,,,495,30.63,Acaocashback Janeiro,Alcance,N/a,Meta Ads,6
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,1,2023-01-12,,,,45,6.379999999999999,Acaocashback Janeiro,Alcance,N/a,Meta Ads,7
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,0,2023-01-13,,,,35,3.1,Acaocashback Janeiro,Alcance,N/a,Meta Ads,8
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,2,2023-01-14,,,,30,3.17,Acaocashback Janeiro,Alcance,N/a,Meta Ads,9
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,0,2023-01-15,,,,16,0.99,Acaocashback Janeiro,Alcance,N/a,Meta Ads,10
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,1,2023-01-16,,,,19,1.35,Acaocashback Janeiro,Alcance,N/a,Meta Ads,11
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,0,2023-01-17,,,,16,0.78,Acaocashback Janeiro,Alcance,N/a,Meta Ads,12
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,3,2023-01-18,,,,387,24.14,Acaocashback Janeiro,Alcance,N/a,Meta Ads,13
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,2,2023-01-19,,,,51,3.46,Acaocashback Janeiro,Alcance,N/a,Meta Ads,14
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,0,2023-01-20,,,,10,0.8,Acaocashback Janeiro,Alcance,N/a,Meta Ads,15
Realizado,Marcasfilial_filial_acao-influenciadora-lais-cintra_engajamento_2301,Engajamento,2087,2023-01-25,,,,266813,10000.0,Acao Influenciadora Lais Cintra,Engajamento,N/a,Meta Ads,16
Realizado,Marcasfilial_filial_acao-influenciadores-fds4-nao-socio_engajamento_2301,Engajamento,2017,2023-01-27,,,,91793,1292.23,Acao Influenciadores Fds4 Nao Socio,Engajamento,N/a,Meta Ads,17
Realizado,Marcasfilial_filial_acao-influenciadores-fds4-nao-socio_engajamento_2301,Engajamento,7505,2023-01-28,,,,284715,3574.61,Acao Influenciadores Fds4 Nao Socio,Engajamento,N/a,Meta Ads,18
Realizado,Marcasfilial_filial_acao-influenciadores-fds4-nao-socio_engajamento_2301,Engajamento,6354,2023-01-29,,,,316891,3133.16,Acao Influenciadores Fds4 Nao Socio,Engajamento,N/a,Meta Ads,19
Realizado,Marcasfilial_filial_acao-influenciadores-fds4-socio_engajamento_2301,Engajamento,1763,2023-01-27,,,,111857,1905.71,Acao Influenciadores Fds4 Socio,Engajamento,N/a,Meta Ads,20
