Campanha,Soma de Investimento,Soma de Impressoes,Soma de Cliques
Fds1,970248.575,85910383,323408
Fds2,946640.4273,80934369,302765
Fds3,886482.4024,75898640,308491
Fds4,662537.8962,57756827,240820
Dia Das Maes,469141.7049,72701691,179422
Motivos De Ser Marcas,457176.0,123016364,143924
So Tem No Marcas,453784.7116,105006732,215840
Members Mark,439669.6273,37425591,138407
Black Friday,404058.8239,43963544,97262
Material Didatico,394836.37,38437307,121197
Inauguracao Florianopolis,391473.2781,83170961,134546
Pascoa,381483.8,46979596,158992
Natal,373887.63,47772003,121690
Aniversario,336502.1141,48157653,132372
Trafego,318201.08,38845799,286688
Mega*Fds,296268.3164,35949099,137781
Alcance,288948.4736,29556314,75728
Esquenta Black,253701.4327,54270692,124745
Fds5,247626.0695,22472978,73139
Inauguracao Cristal,230323.7982,63941749,92653
Cashback,223777.66,27626441,134946
Antecipa Black,220516.0635,24025351,74377
Pampulha,213822.5491,39881966,73543
Mega*Day,207103.32,20961402,98817
Inauguracao Barra,199857.4568,44542995,61520
Novidades,197945.895,57239743,58406
Passe Livre,186041.48,35537336,117201
Impulsionamentos,185309.48,25340841,100360
Novo Posicionamento,182623.2004,57386608,84889
Novidades Marcas,175449.6801,38355844,66991
Jabaquara,174005.8205,67313586,68902
Mega Day,167928.48,30418606,80925
Indaiatuba,167678.9167,33299967,65338
Youtube,150211.4091,13239879,32774
Novo*Posicionamento,147448.44,10691274,48891
Freeshop,147236.92,17411079,82088
Material Didatico Influ,144000.0,13880260,59954
Passe*Livre,133251.4708,26008988,72157
Inauguracao*Franca,107584.8447,13541065,44388
Inauguracao*Granja,87296.6102,13287416,30035
Uberlandia,86196.5,18334990,30277
Reforco Barra,85246.9415,21779687,31597
Happy*Hour,84764.0,7164068,44458
Material Didatico Emb Economicas Novidades,82962.2967,10154727,16784
Material Didatico Parceiros Cashback,82637.6706,9527017,16639
Material Didatico Queridinhos So Tem No Marcas,82476.8279,8446783,15697
Maceio,81622.9448,9701726,30746
Fortaleza,81493.4195,14340078,27161
Fds1 Set,78954.098,3927391,27985
Inauguracao*Bonoco,77854.396,12935686,33187
Freeshop From Like To Love,71907.1761,2518069,11351
Reforco Granja Viana,69228.5345,26136800,21973
Freeshop Time To Try,68352.6036,2387561,9334
Reforco Lauro E Bonoco,65634.42,21540912,26139
Solucao*Da*Casa,61654.409999999996,6815817,58571
Fds2*Passe*Livre,59357.0,7948342,116739
Impulsionamento Black Friday,58551.07,4549044,33688
Inauguracao*Lauro,55079.1169,7159276,21540
Reforco Joinville,54587.4778,8710507,13529
Fds4 Ofertasbr,51547.130000000005,4542078,8363
Especial Vinhos,51288.0,4493187,13628
Maes*Imperdiveis,51264.729999999996,6655248,17147
Joao Pessoa,49793.8028,18334219,19065
Reforco Franca,49231.5055,10809601,20222
Pascoa Lancamento,45588.7801,2496607,12253
Fds1*Cashback,45531.0,2922097,21088
Fds1 Out,40609.7336,1637852,6587
Always On,40036.3958,2294161,14170
Redessocias Influenciadores,38986.090000000004,5300212,20563
Hardsell,38000.0,3278330,9797
Influenciador,37668.83,11687007,619996
Inauguracao*Barra,35639.1199,1757186,9333
Textil,33622.62,4736078,23620
Casa Pratica,31674.0,3718336,37715
Hora Do Cafe,30966.77,6258040,4518
Inauguracao,30883.924199999998,4152571,10929
Pascoa Sustentacao,30398.357799999998,1760536,8984
Pascoa Aquecimento,30310.992899999997,3364521,7256
Festival Drink,30000.0,1982511,7327
Beleza Cuidados,30000.0,3377698,17676
Mundo*Das*Delicias,30000.0,3413987,20775
Engajamento,30000.0,1833188,29271
Festival*Casa*Limpa,30000.0,2726961,25990
Tudo Para Seu Bebe,29999.98,6020258,19304
Socio*Week,29948.47,3221150,396599
Natal Ucrania,28692.1231,1223603,8277
Natal Angola,28687.730600000003,1192769,7679
Impulsionamento Aon,28444.45,2574632,18448
Fds3 Ofertasbr,27000.0,1396932,3749
