Campanha,inv_plan,inv_real,imp_plan,imp_real,cli_plan,cli_real,pacing_inv
Inauguracao,24797.5,0.0,3542500.0,0,18233.0,0,0.0
Impulsionamentos,169500.0,139302.08000000005,16405555.0,11920141,82027.0,75875,82.18411799410032
Cashback Resgate,26867.51953125,25004.4,392760.0,534623,2355.0,2385,93.06553204852804
Feira de Santana,53932.80078125,50547.3777,7868800.0,13185413,19082.0,14338,93.72288656956425
Fortaleza,29100.0,29099.108300000004,4560000.0,13058571,2280.0,6817,99.99693573883162
Cashback,105640.0,105637.44000000002,8620000.0,8336345,17240.0,17726,99.99757667550172
Uberlandia,50789.640625,50788.4149,7614105.0,14501612,18211.0,12790,99.99758666337286
Fds3 Ofertasbr,24547.130859375,24547.13,1636475.0,3046794,4091.0,4472,99.99999649908169
Fds2 Ofertasbr,24547.130859375,24547.13,1636475.0,1875971,4091.0,3496,99.99999649908169
Mega Day,101840.0,101840.0,9880000.0,6010285,24700.0,39835,100.0
Oportunidades Incriveis,45000.0,45000.0,4500000.0,6849360,11250.0,14106,100.0
Fds1,76000.0,76000.0,8360000.0,6202111,20900.0,12683,100.0
Especial Cabelos,5000.0,5000.000000000001,1250000.0,1785118,1872.0,1979,100.00000000000003
Fds2,19186.19921875,19186.2,1279080.0,1267473,3197.0,2519,100.0000040719373
Fds3,19186.19921875,19186.2,1279080.0,874994,3197.0,1718,100.0000040719373
Joao Pessoa,41165.80078125,42925.0503,8378000.0,10875051,31134.0,13466,104.2735705011508
Freeshop,130157.5625,166957.62,37485853.0,42784676,353602.0,40607,128.27346855085736
Maceio,86367.599609375,115817.0218,12434400.0,23763969,9304.0,31769,134.09776620378406
