Campanha,Veiculo,inv_plan,inv_real,imp_plan,imp_real,cli_plan,cli_real,pacing_inv,pacing_imp,pacing_cli
Inauguracao,Tiktok Ads,24797.5,0.0,3542500.0,0,18233.0,0,0.0,0.0,0.0
Impulsionamentos,Tiktok Ads,62333.330078125,35380.100000000006,5688888.0,2110917,28444.0,4723,56.75952168070698,37.105968688432604,16.60455632119252
Feira de Santana,Meta Ads,27052.80078125,23671.2,4508800.0,10802427,9016.0,8635,87.49999747311284,239.5854107523066,95.77417923691216
Cashback Resgate,Meta Ads,26867.51953125,25004.4,392760.0,534623,2355.0,2385,93.06553204852804,136.11951318871576,101.27388535031847
Impulsionamentos,Meta Ads,107166.669921875,103921.98000000004,10716667.0,9809224,53583.0,71152,96.97229565475874,91.53241394922506,132.78838437564153
Joao Pessoa,Tiktok Ads,11919.0,11910.15,2383800.0,709911,11919.0,2782,99.9257488044299,29.780644349358166,23.34088430237436
Feira de Santana,Youtube Ads,26880.0,26876.1777,3360000.0,2382986,10066.0,5703,99.98578013392857,70.92220238095238,56.65606993840652
Maceio,Youtube Ads,41580.0,41576.4918,3643200.0,3516732,2593.0,13324,99.99156277056278,96.52865612648222,513.844967219437
Fortaleza,Youtube Ads,12600.0,12599.118300000002,1260000.0,1449376,630.0,724,99.9930023809524,115.02984126984126,114.92063492063491
Uberlandia,Youtube Ads,23963.16015625,23961.9949,2995395.0,2132256,8974.0,4363,99.99513730141433,71.18446815862349,48.61823044350345
Cashback,Meta Ads,105640.0,105637.44000000002,8620000.0,8336345,17240.0,17726,99.99757667550172,96.70933874709976,102.81902552204176
Uberlandia,Meta Ads,26826.48046875,26826.42,4618710.0,12369356,9237.0,8427,99.99977459305528,267.80975640384435,91.23091912958753
Fortaleza,Meta Ads,16500.0,16499.99,3300000.0,11609195,1650.0,6093,99.99993939393941,351.7937878787879,369.2727272727273
Joao Pessoa,Meta Ads,25676.80078125,25676.79,5824200.0,9607978,18705.0,9352,99.99995801170834,164.96648466742215,49.99732691793638
Fds2 Ofertasbr,Meta Ads,24547.130859375,24547.13,1636475.0,1875971,4091.0,3496,99.99999649908169,114.6348706824119,85.45587875824981
Fds3 Ofertasbr,Meta Ads,24547.130859375,24547.13,1636475.0,3046794,4091.0,4472,99.99999649908169,186.18029606318458,109.31312637496944
Fds1,Meta Ads,76000.0,76000.0,8360000.0,6202111,20900.0,12683,100.0,74.18793062200957,60.68421052631579
Mega Day,Meta Ads,101840.0,101840.0,9880000.0,6010285,24700.0,39835,100.0,60.83284412955465,161.2753036437247
Oportunidades Incriveis,Meta Ads,45000.0,45000.0,4500000.0,6849360,11250.0,14106,100.0,152.208,125.38666666666667
Especial Cabelos,Meta Ads,5000.0,5000.000000000001,1250000.0,1785118,1872.0,1979,100.00000000000003,142.80944,105.71581196581197
Fds2,Meta Ads,19186.19921875,19186.2,1279080.0,1267473,3197.0,2519,100.0000040719373,99.09255089595646,78.79261807944948
Fds3,Meta Ads,19186.19921875,19186.2,1279080.0,874994,3197.0,1718,100.0000040719373,68.40807455358538,53.73787926180794
Freeshop,Meta Ads,130157.5625,166957.62,37485853.0,42784676,353602.0,40607,128.27346855085736,114.13552734147466,11.483815136792213
Joao Pessoa,Youtube Ads,3570.0,5338.110299999999,170000.0,557162,510.0,1332,149.52689915966383,327.7423529411765,261.1764705882353
Maceio,Meta Ads,44787.599609375,74240.53,8791200.0,20247237,6711.0,18445,165.7613505691425,230.31255118755118,274.8472656832067
