Base,campaign_name,Campanha,Soma de Cliques,Data,Data de Inicio,Data de Termino,Soma de Dias_Veiculacao,Soma de Impressoes,Soma de Investimento,Modalidade,Objetivo,Publico,Veiculo,linha_id,motivo
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,13,2023-01-04,,,,10454,79.12,Acaocashback Janeiro,Alcance,N/a,Meta Ads,45,campanha fora do plano
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,26,2023-01-05,,,,21188,117.65,Acaocashback Janeiro,Alcance,N/a,Meta Ads,46,campanha fora do plano
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,10,2023-01-06,,,,9843,64.87,Acaocashback Janeiro,Alcance,N/a,Meta Ads,47,campanha fora do plano
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,11,2023-01-07,,,,8195,68.93,Acaocashback Janeiro,Alcance,N/a,Meta Ads,48,campanha fora do plano
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,15,2023-01-08,,,,7188,73.2,Acaocashback Janeiro,Alcance,N/a,Meta Ads,49,campanha fora do plano
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,3,2023-01-09,,,,1729,17.38,Acaocashback Janeiro,Alcance,N/a,Meta Ads,50,campanha fora do plano
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,15,2023-01-11,,,,495,30.63,Acaocashback Janeiro,Alcance,N/a,Meta Ads,51,campanha fora do plano
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,1,2023-01-12,,,,45,6.379999999999999,Acaocashback Janeiro,Alcance,N/a,Meta Ads,52,campanha fora do plano
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,0,2023-01-13,,,,35,3.1,Acaocashback Janeiro,Alcance,N/a,Meta Ads,53,campanha fora do plano
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,2,2023-01-14,,,,30,3.17,Acaocashback Janeiro,Alcance,N/a,Meta Ads,54,campanha fora do plano
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,0,2023-01-15,,,,16,0.99,Acaocashback Janeiro,Alcance,N/a,Meta Ads,55,campanha fora do plano
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,1,2023-01-16,,,,19,1.35,Acaocashback Janeiro,Alcance,N/a,Meta Ads,56,campanha fora do plano
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,0,2023-01-17,,,,16,0.78,Acaocashback Janeiro,Alcance,N/a,Meta Ads,57,campanha fora do plano
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,3,2023-01-18,,,,387,24.14,Acaocashback Janeiro,Alcance,N/a,Meta Ads,58,campanha fora do plano
Realizado,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,2,2023-01-19,,,,51,3.46,Acaocashback Janeiro,Alcance,N/a,Meta Ads,59,campanha fora do plano
