Data,Soma de Investimento,Soma de Impressoes,Soma de Cliques
2024-05-28,2449.22,269653,420
2024-05-29,6226.05,725650,1401
2024-05-30,5809.91,335559,1213
2024-05-31,5576.2300000000005,180113,888
2024-06-01,8176.505,1530395,1842
2024-06-02,6824.09,934152,1293
2024-06-03,7415.870000000001,1018172,1270
2024-06-04,9040.82,1319190,1730
2024-06-05,9605.95,1352251,2044
2024-06-06,17727.5371,1838146,3565
2024-06-07,19801.320900000002,2071517,3839
2024-06-08,13301.921,1853081,3077
2024-06-09,13609.7593,1841585,3293
2024-06-10,5283.1541,1281235,1860
2024-06-11,4860.2033,1361887,1164
2024-06-12,7692.5679,1989005,2310
2024-06-13,16969.1999,2644686,4685
2024-06-14,21926.8983,2608059,7258
2024-06-15,24138.4928,2867322,8747
2024-06-16,22791.3085,2692582,8817
2024-06-17,15499.884,2997388,6532
2024-06-18,23240.548,4328815,8890
2024-06-19,32611.975199999997,5147611,11921
2024-06-20,23943.3863,5632220,5930
2024-06-21,26412.1081,5687857,6484
2024-06-22,28731.037500000002,5954855,6947
2024-06-23,31154.787,6345927,7551
2024-06-24,15897.7343,4749553,4772
2024-06-25,26428.3573,6853173,7696
2024-06-26,32906.754,7218291,7706
2024-06-27,34713.8961,5701024,7928
2024-06-28,36219.3213,3323813,7307
2024-06-29,36178.4392,3462408,7191
2024-06-30,35529.9586,3665032,7412
2024-07-01,8697.8441,1911495,2498
2024-07-02,10092.1347,2312015,2912
2024-07-03,10160.3832,2176003,4135
2024-07-04,21067.2332,3052279,7201
2024-07-05,22932.0399,3002601,6825
2024-07-06,27241.350700000003,3289812,7643
2024-07-07,29207.565300000002,3298727,8018
2024-07-08,8358.4353,1875915,2669
2024-07-09,8123.0659000000005,1888587,2750
2024-07-10,9247.451799999999,1962901,2945
2024-07-11,10689.780200000001,1875157,3269
2024-07-12,13212.4658,2175273,4483
2024-07-13,13066.9871,2260129,4411
2024-07-14,13703.318500000001,2357906,4639
2024-07-15,12797.0932,2145274,4041
2024-07-16,18821.1002,2083823,4269
2024-07-17,44305.6461,3196547,17254
2024-07-18,10161.2052,1846320,2929
2024-07-19,7707.0108,1509788,2079
2024-07-20,10221.6868,1868022,2938
2024-07-21,10716.6314,1988745,3327
2024-07-22,8912.7624,1760966,2638
2024-07-23,9574.5139,1787656,2705
2024-07-24,9308.9785,1679665,2569
2024-07-25,9808.0063,1668206,3552
2024-07-26,9695.0429,1644079,3108
2024-07-27,8810.5933,1705178,3214
2024-07-28,9232.2314,1824540,3317
2024-07-29,8270.2001,1628302,2289
2024-07-30,8973.073,1639062,3442
2024-07-31,9574.1468,1675327,3529
