chave_par,campanha,veiculo,denominador_valido
Cashback | Meta Ads,Cashback,Meta Ads,True
Cashback Resgate | Meta Ads,Cashback Resgate,Meta Ads,True
Especial Cabelos | Meta Ads,Especial Cabelos,Meta Ads,True
Fds1 | Meta Ads,Fds1,Meta Ads,True
Fds2 | Meta Ads,Fds2,Meta Ads,True
Fds2 Ofertasbr | Meta Ads,Fds2 Ofertasbr,Meta Ads,True
Fds3 | Meta Ads,Fds3,Meta Ads,True
Fds3 Ofertasbr | Meta Ads,Fds3 Ofertasbr,Meta Ads,True
Feira de Santana | Meta Ads,Feira de Santana,Meta Ads,True
Feira de Santana | Youtube Ads,Feira de Santana,Youtube Ads,True
Fortaleza | Meta Ads,Fortaleza,Meta Ads,True
Fortaleza | Youtube Ads,Fortaleza,Youtube Ads,True
Freeshop | Meta Ads,Freeshop,Meta Ads,True
Impulsionamentos | Meta Ads,Impulsionamentos,Meta Ads,True
Impulsionamentos | Tiktok Ads,Impulsionamentos,Tiktok Ads,True
Inauguracao | Tiktok Ads,Inauguracao,Tiktok Ads,True
Joao Pessoa | Meta Ads,Joao Pessoa,Meta Ads,True
Joao Pessoa | Tiktok Ads,Joao Pessoa,Tiktok Ads,True
Joao Pessoa | Youtube Ads,Joao Pessoa,Youtube Ads,True
Joao Pessoa - Não Pulavel | Youtube Ads,Joao Pessoa - Não Pulavel,Youtube Ads,False
Maceio | Meta Ads,Maceio,Meta Ads,True
Maceio | Youtube Ads,Maceio,Youtube Ads,True
Mega Day | Meta Ads,Mega Day,Meta Ads,True
Oportunidades Incriveis | Meta Ads,Oportunidades Incriveis,Meta Ads,True
Uberlandia | Meta Ads,Uberlandia,Meta Ads,True
Uberlandia | Youtube Ads,Uberlandia,Youtube Ads,True
