campanha,veiculo,inv_plan,inv_real,imp_plan,imp_real,cli_plan,cli_real,chave_par,denominador_valido
Cashback,Meta Ads,105640.0,105637.44000000002,8620000.0,8336345,17240.0,17726,Cashback | Meta Ads,True
Cashback Resgate,Meta Ads,26867.51953125,25004.4,392760.0,534623,2355.0,2385,Cashback Resgate | Meta Ads,True
Especial Cabelos,Meta Ads,5000.0,5000.000000000001,1250000.0,1785118,1872.0,1979,Especial Cabelos | Meta Ads,True
Fds1,Meta Ads,76000.0,76000.0,8360000.0,6202111,20900.0,12683,Fds1 | Meta Ads,True
Fds2,Meta Ads,19186.19921875,19186.2,1279080.0,1267473,3197.0,2519,Fds2 | Meta Ads,True
Fds2 Ofertasbr,Meta Ads,24547.130859375,24547.13,1636475.0,1875971,4091.0,3496,Fds2 Ofertasbr | Meta Ads,True
Fds3,Meta Ads,19186.19921875,19186.2,1279080.0,874994,3197.0,1718,Fds3 | Meta Ads,True
Fds3 Ofertasbr,Meta Ads,24547.130859375,24547.13,1636475.0,3046794,4091.0,4472,Fds3 Ofertasbr | Meta Ads,True
Feira de Santana,Meta Ads,27052.80078125,23671.2,4508800.0,10802427,9016.0,8635,Feira de Santana | Meta Ads,True
Feira de Santana,Youtube Ads,26880.0,26876.1777,3360000.0,2382986,10066.0,5703,Feira de Santana | Youtube Ads,True
Fortaleza,Meta Ads,16500.0,16499.99,3300000.0,11609195,1650.0,6093,Fortaleza | Meta Ads,True
Fortaleza,Youtube Ads,12600.0,12599.118300000002,1260000.0,1449376,630.0,724,Fortaleza | Youtube Ads,True
Freeshop,Meta Ads,130157.5625,166957.62,37485853.0,42784676,353602.0,40607,Freeshop | Meta Ads,True
Impulsionamentos,Meta Ads,107166.669921875,103921.98000000004,10716667.0,9809224,53583.0,71152,Impulsionamentos | Meta Ads,True
Impulsionamentos,Tiktok Ads,62333.330078125,35380.100000000006,5688888.0,2110917,28444.0,4723,Impulsionamentos | Tiktok Ads,True
Inauguracao,Tiktok Ads,24797.5,0.0,3542500.0,0,18233.0,0,Inauguracao | Tiktok Ads,True
Joao Pessoa,Meta Ads,25676.80078125,25676.79,5824200.0,9607978,18705.0,9352,Joao Pessoa | Meta Ads,True
Joao Pessoa,Tiktok Ads,11919.0,11910.15,2383800.0,709911,11919.0,2782,Joao Pessoa | Tiktok Ads,True
Joao Pessoa,Youtube Ads,3570.0,5338.110299999999,170000.0,557162,510.0,1332,Joao Pessoa | Youtube Ads,True
Joao Pessoa - Não Pulavel,Youtube Ads,,5949.3076,0.0,558959,0.0,694,Joao Pessoa - Não Pulavel | Youtube Ads,False
Maceio,Meta Ads,44787.599609375,74240.53,8791200.0,20247237,6711.0,18445,Maceio | Meta Ads,True
Maceio,Youtube Ads,41580.0,41576.4918,3643200.0,3516732,2593.0,13324,Maceio | Youtube Ads,True
Mega Day,Meta Ads,101840.0,101840.0,9880000.0,6010285,24700.0,39835,Mega Day | Meta Ads,True
Oportunidades Incriveis,Meta Ads,45000.0,45000.0,4500000.0,6849360,11250.0,14106,Oportunidades Incriveis | Meta Ads,True
Uberlandia,Meta Ads,26826.48046875,26826.42,4618710.0,12369356,9237.0,8427,Uberlandia | Meta Ads,True
Uberlandia,Youtube Ads,23963.16015625,23961.9949,2995395.0,2132256,8974.0,4363,Uberlandia | Youtube Ads,True
