campanha,veiculo,inicio,fim,dias_veiculacao,investimento_planejado,impressoes_planejadas,cliques_planejados,modalidade,objetivo,publico,flight_id,chave_par,denominador_valido
Cashback,Meta Ads,2024-05-28,2024-06-07,10.0,64600.0,6460000,12920,Regular,Alcance,Socios,0,Cashback | Meta Ads,True
Cashback,Meta Ads,2024-07-01,2024-07-07,6.0,41040.0,2160000,4320,Regular,Alcance,Socios,1,Cashback | Meta Ads,True
Cashback Resgate,Meta Ads,2024-06-10,2024-06-30,20.0,19847.51953125,257760,1546,Regular,Alcance,Socios,2,Cashback Resgate | Meta Ads,True
Cashback Resgate,Meta Ads,2024-07-08,2024-07-31,23.0,7020.0,135000,809,Regular,Alcance,Socios,3,Cashback Resgate | Meta Ads,True
Especial Cabelos,Meta Ads,2024-06-11,2024-06-23,12.0,5000.0,1250000,1872,Trade,Alcance,Socios,4,Especial Cabelos | Meta Ads,True
Fds1,Meta Ads,2024-06-06,2024-06-09,3.0,30400.0,3800000,9500,Regular,Alcance,Socios,5,Fds1 | Meta Ads,True
Fds1,Meta Ads,2024-07-04,2024-07-07,3.0,45600.0,4560000,11400,Regular,Alcance,Socios,6,Fds1 | Meta Ads,True
Fds2,Meta Ads,2024-06-13,2024-06-19,6.0,19186.19921875,1279080,3197,Regular,Alcance,Socios,7,Fds2 | Meta Ads,True
Fds2 Ofertasbr,Meta Ads,2024-06-13,2024-06-16,3.0,24547.130859375,1636475,4091,Regular,Alcance,Socios,8,Fds2 Ofertasbr | Meta Ads,True
Fds3,Meta Ads,2024-06-20,2024-06-23,3.0,19186.19921875,1279080,3197,Regular,Alcance,Socios,9,Fds3 | Meta Ads,True
Fds3 Ofertasbr,Meta Ads,2024-06-20,2024-06-23,3.0,24547.130859375,1636475,4091,Regular,Alcance,Socios,10,Fds3 Ofertasbr | Meta Ads,True
Feira de Santana,Meta Ads,2024-06-01,2024-06-30,29.0,13526.400390625,2254400,4508,Inauguracao,Alcance,Nao Socios,11,Feira de Santana | Meta Ads,True
Feira de Santana,Youtube Ads,2024-06-01,2024-06-30,29.0,13440.0,1680000,5033,Inauguracao,Alcance,Nao Socios,12,Feira de Santana | Youtube Ads,True
Feira de Santana,Meta Ads,2024-07-01,2024-07-31,30.0,13526.400390625,2254400,4508,Inauguracao,Alcance,Nao Socios,13,Feira de Santana | Meta Ads,True
Feira de Santana,Youtube Ads,2024-07-01,2024-07-31,30.0,13440.0,1680000,5033,Inauguracao,Alcance,Nao Socios,14,Feira de Santana | Youtube Ads,True
Fortaleza,Meta Ads,2024-06-01,2024-06-30,29.0,4950.0,990000,495,Inauguracao,Alcance,Nao Socios,15,Fortaleza | Meta Ads,True
Fortaleza,Youtube Ads,2024-06-01,2024-06-30,29.0,4200.0,420000,210,Inauguracao,Alcance,Nao Socios,16,Fortaleza | Youtube Ads,True
Fortaleza,Meta Ads,2024-07-01,2024-07-31,30.0,11550.0,2310000,1155,Inauguracao,Alcance,Nao Socios,17,Fortaleza | Meta Ads,True
Fortaleza,Youtube Ads,2024-07-01,2024-07-31,30.0,8400.0,840000,420,Inauguracao,Alcance,Nao Socios,18,Fortaleza | Youtube Ads,True
Freeshop,Meta Ads,2024-06-17,2024-06-30,13.0,99257.5625,33085853,330858,Regular,Alcance,Nao Socios,19,Freeshop | Meta Ads,True
Freeshop,Meta Ads,2024-06-17,2024-06-30,13.0,20900.0,1900000,19000,Regular,Alcance,Socios,20,Freeshop | Meta Ads,True
Freeshop,Meta Ads,2024-06-18,2024-06-30,12.0,5000.0,1250000,1872,Trade,Alcance,Socios,21,Freeshop | Meta Ads,True
Freeshop,Meta Ads,2024-06-18,2024-07-08,20.0,5000.0,1250000,1872,Trade,Alcance,Socios,22,Freeshop | Meta Ads,True
Impulsionamentos,Meta Ads,2024-06-01,2024-06-30,29.0,74500.0,7450000,37250,Regular,Engajamento,Socios,23,Impulsionamentos | Meta Ads,True
Impulsionamentos,Tiktok Ads,2024-06-01,2024-06-30,29.0,46000.0,4600000,23000,Regular,Video Views,Socios,24,Impulsionamentos | Tiktok Ads,True
Impulsionamentos,Meta Ads,2024-07-01,2024-07-31,30.0,32666.669921875,3266667,16333,Regular,Engajamento,Socios,25,Impulsionamentos | Meta Ads,True
Impulsionamentos,Tiktok Ads,2024-07-01,2024-07-31,30.0,16333.330078125,1088888,5444,Regular,Video Views,Socios,26,Impulsionamentos | Tiktok Ads,True
Inauguracao,Tiktok Ads,2024-07-19,2024-07-31,12.0,24797.5,3542500,18233,Regular,Alcance,Nao Socios,27,Inauguracao | Tiktok Ads,True
Joao Pessoa,Meta Ads,2024-06-01,2024-06-30,29.0,22616.80078125,5654200,17005,Inauguracao,Alcance,Nao Socios,28,Joao Pessoa | Meta Ads,True
Joao Pessoa,Youtube Ads,2024-06-01,2024-06-30,29.0,,0,0,Inauguracao,Alcance,Nao Socios,29,Joao Pessoa | Youtube Ads,True
Joao Pessoa,Meta Ads,2024-06-01,2024-06-30,29.0,3060.0,170000,1700,Inauguracao,Alcance,Socios,30,Joao Pessoa | Meta Ads,True
Joao Pessoa,Youtube Ads,2024-06-01,2024-06-30,29.0,3570.0,170000,510,Inauguracao,Alcance,Socios,31,Joao Pessoa | Youtube Ads,True
Joao Pessoa,Tiktok Ads,2024-06-01,2024-06-30,29.0,11919.0,2383800,11919,Regular,Alcance,Nao Socios,32,Joao Pessoa | Tiktok Ads,True
Joao Pessoa - Não Pulavel,Youtube Ads,2024-06-01,2024-06-30,29.0,,0,0,Inauguracao,Alcance,Nao Socios,33,Joao Pessoa - Não Pulavel | Youtube Ads,False
Maceio,Meta Ads,2024-06-01,2024-06-30,29.0,13899.599609375,1069200,534,Inauguracao,Alcance,Nao Socios,34,Maceio | Meta Ads,True
Maceio,Youtube Ads,2024-06-01,2024-06-30,29.0,10692.0,1069200,534,Inauguracao,Alcance,Nao Socios,35,Maceio | Youtube Ads,True
Maceio,Meta Ads,2024-07-01,2024-07-31,30.0,30888.0,7722000,6177,Inauguracao,Alcance,Nao Socios,36,Maceio | Meta Ads,True
Maceio,Youtube Ads,2024-07-01,2024-07-31,30.0,30888.0,2574000,2059,Inauguracao,Alcance,Nao Socios,37,Maceio | Youtube Ads,True
Mega Day,Meta Ads,2024-06-12,2024-06-19,7.0,42560.0,5320000,13300,Regular,Alcance,Socios,38,Mega Day | Meta Ads,True
Mega Day,Meta Ads,2024-07-08,2024-07-17,9.0,59280.0,4560000,11400,Regular,Alcance,Socios,39,Mega Day | Meta Ads,True
Oportunidades Incriveis,Meta Ads,2024-07-05,2024-07-18,13.0,45000.0,4500000,11250,Regular,Alcance,Socios,40,Oportunidades Incriveis | Meta Ads,True
Uberlandia,Meta Ads,2024-06-01,2024-06-30,29.0,9743.580078125,1771560,3543,Inauguracao,Alcance,Nao Socios,41,Uberlandia | Meta Ads,True
Uberlandia,Youtube Ads,2024-06-01,2024-06-30,29.0,8731.16015625,1091395,3270,Inauguracao,Alcance,Nao Socios,42,Uberlandia | Youtube Ads,True
Uberlandia,Meta Ads,2024-07-01,2024-07-31,30.0,17082.900390625,2847150,5694,Inauguracao,Alcance,Nao Socios,43,Uberlandia | Meta Ads,True
Uberlandia,Youtube Ads,2024-07-01,2024-07-31,30.0,15232.0,1904000,5704,Inauguracao,Alcance,Nao Socios,44,Uberlandia | Youtube Ads,True
