anuncio,campanha,veiculo,data,modalidade,objetivo,publico,investimento,impressoes,cliques,motivo,dentro_do_plano,par_com_denominador,chave_par
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-04,Acaocashback Janeiro,Alcance,N/a,79.12,10454,13,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-05,Acaocashback Janeiro,Alcance,N/a,117.65,21188,26,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-06,Acaocashback Janeiro,Alcance,N/a,64.87,9843,10,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-07,Acaocashback Janeiro,Alcance,N/a,68.93,8195,11,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-08,Acaocashback Janeiro,Alcance,N/a,73.2,7188,15,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-09,Acaocashback Janeiro,Alcance,N/a,17.38,1729,3,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-11,Acaocashback Janeiro,Alcance,N/a,30.63,495,15,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-12,Acaocashback Janeiro,Alcance,N/a,6.379999999999999,45,1,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-13,Acaocashback Janeiro,Alcance,N/a,3.1,35,0,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-14,Acaocashback Janeiro,Alcance,N/a,3.17,30,2,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-15,Acaocashback Janeiro,Alcance,N/a,0.99,16,0,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-16,Acaocashback Janeiro,Alcance,N/a,1.35,19,1,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-17,Acaocashback Janeiro,Alcance,N/a,0.78,16,0,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-18,Acaocashback Janeiro,Alcance,N/a,24.14,387,3,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-19,Acaocashback Janeiro,Alcance,N/a,3.46,51,2,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-20,Acaocashback Janeiro,Alcance,N/a,0.8,10,0,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acao-influenciadora-lais-cintra_engajamento_2301,Engajamento,Meta Ads,2023-01-25,Acao Influenciadora Lais Cintra,Engajamento,N/a,10000.0,266813,2087,campanha fora do plano,False,False,Engajamento | Meta Ads
Marcasfilial_filial_acao-influenciadores-fds4-nao-socio_engajamento_2301,Engajamento,Meta Ads,2023-01-27,Acao Influenciadores Fds4 Nao Socio,Engajamento,N/a,1292.23,91793,2017,campanha fora do plano,False,False,Engajamento | Meta Ads
Marcasfilial_filial_acao-influenciadores-fds4-nao-socio_engajamento_2301,Engajamento,Meta Ads,2023-01-28,Acao Influenciadores Fds4 Nao Socio,Engajamento,N/a,3574.61,284715,7505,campanha fora do plano,False,False,Engajamento | Meta Ads
Marcasfilial_filial_acao-influenciadores-fds4-nao-socio_engajamento_2301,Engajamento,Meta Ads,2023-01-29,Acao Influenciadores Fds4 Nao Socio,Engajamento,N/a,3133.16,316891,6354,campanha fora do plano,False,False,Engajamento | Meta Ads
Marcasfilial_filial_acao-influenciadores-fds4-socio_engajamento_2301,Engajamento,Meta Ads,2023-01-27,Acao Influenciadores Fds4 Socio,Engajamento,N/a,1905.71,111857,1763,campanha fora do plano,False,False,Engajamento | Meta Ads
