flight_id,Campanha,Veiculo,Modalidade,Objetivo,Publico,Data de Inicio,Data de Termino,dias_planejados,plan_investimento,plan_impressoes,plan_cliques,dias_entregues,dias_compartilhados,real_investimento,real_impressoes,real_cliques,pacing_investimento,pacing_impressoes,pacing_cliques,entrega_compartilhada
0,Cashback,Meta Ads,Regular,Alcance,Socios,2024-05-28,2024-06-07,10.0,64600.0,6460000,12920,11.0,0.0,64597.44,3904844.0,9711.0,0.9999603715170279,0.6044650154798762,0.7516253869969041,False
1,Cashback,Meta Ads,Regular,Alcance,Socios,2024-07-01,2024-07-07,6.0,41040.0,2160000,4320,7.0,0.0,41040.0,4431501.0,8015.0,1.0,2.0516208333333332,1.8553240740740742,False
2,Cashback Resgate,Meta Ads,Regular,Alcance,Socios,2024-06-10,2024-06-30,20.0,19847.51953125,257760,1546,20.0,0.0,17984.4,283989.0,1224.0,0.9061283437299805,1.1017574487895716,0.7917205692108668,False
3,Cashback Resgate,Meta Ads,Regular,Alcance,Socios,2024-07-08,2024-07-31,23.0,7020.0,135000,809,22.0,0.0,7020.0,250634.0,1161.0,1.0,1.856548148148148,1.435105067985167,False
4,Especial Cabelos,Meta Ads,Trade,Alcance,Socios,2024-06-11,2024-06-23,12.0,5000.0,1250000,1872,13.0,0.0,5000.0,1785118.0,1979.0,1.0,1.4280944,1.0571581196581197,False
5,Fds1,Meta Ads,Regular,Alcance,Socios,2024-06-06,2024-06-09,3.0,30400.0,3800000,9500,4.0,0.0,30400.0,2021984.0,5190.0,1.0,0.5321010526315789,0.5463157894736842,False
6,Fds1,Meta Ads,Regular,Alcance,Socios,2024-07-04,2024-07-07,3.0,45600.0,4560000,11400,4.0,0.0,45600.0,4180127.0,7493.0,1.0,0.9166945175438597,0.6572807017543859,False
7,Fds2,Meta Ads,Regular,Alcance,Socios,2024-06-13,2024-06-19,6.0,19186.19921875,1279080,3197,7.0,0.0,19186.2,1267473.0,2519.0,1.000000040719373,0.9909255089595647,0.7879261807944948,False
8,Fds2 Ofertasbr,Meta Ads,Regular,Alcance,Socios,2024-06-13,2024-06-16,3.0,24547.130859375,1636475,4091,4.0,0.0,24547.13,1875971.0,3496.0,0.9999999649908169,1.146348706824119,0.8545587875824981,False
9,Fds3,Meta Ads,Regular,Alcance,Socios,2024-06-20,2024-06-23,3.0,19186.19921875,1279080,3197,4.0,0.0,19186.2,874994.0,1718.0,1.000000040719373,0.6840807455358539,0.5373787926180794,False
10,Fds3 Ofertasbr,Meta Ads,Regular,Alcance,Socios,2024-06-20,2024-06-23,3.0,24547.130859375,1636475,4091,4.0,0.0,24547.13,3046794.0,4472.0,0.9999999649908169,1.8618029606318458,1.0931312637496944,False
11,Feira de Santana,Meta Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,13526.400390625,2254400,4508,28.0,0.0,10144.8,4825132.0,4128.0,0.7499999783409671,2.140317601135557,0.9157054125998225,False
