Campanha,veiculos,flights,dias_entregues,plan_investimento,real_investimento,plan_impressoes,real_impressoes,plan_cliques,real_cliques,pacing_investimento,pacing_impressoes,pacing_cliques
Impulsionamentos,2,4,92.0,169500.0,139302.08,16405555,11920141.0,82027,75875.0,0.8218411799410029,0.7265917550488235,0.9250003047776951
Freeshop,1,4,48.0,130157.5625,166957.62,37485853,42784676.0,353602,40607.0,1.2827346855085735,1.1413552734147465,0.11483815136792212
Cashback,1,2,18.0,105640.0,105637.44,8620000,8336345.0,17240,17726.0,0.9999757667550171,0.9670933874709977,1.0281902552204176
Mega Day,1,2,16.0,101840.0,101840.0,9880000,6010285.0,24700,39835.0,1.0,0.6083284412955465,1.6127530364372469
Maceio,2,4,115.0,86367.599609375,115817.0218,12434400,23763969.0,9304,31769.0,1.3409776620378406,1.9111472206137812,3.4145528804815135
Fds1,1,2,8.0,76000.0,76000.0,8360000,6202111.0,20900,12683.0,1.0,0.7418793062200957,0.6068421052631578
Feira de Santana,2,4,115.0,53932.80078125,50547.3777,7868800,13185413.0,19082,14338.0,0.9372288656956425,1.675657406466043,0.7513887433183104
Uberlandia,2,4,118.0,50789.640625,50788.4149,7614105,14501612.0,18211,12790.0,0.9999758666337286,1.904572106636302,0.7023227719510187
Oportunidades Incriveis,1,1,14.0,45000.0,45000.0,4500000,6849360.0,11250,14106.0,1.0,1.52208,1.2538666666666667
Joao Pessoa,3,5,125.0,41165.80078125,42925.0503,8378000,10875051.0,31134,13466.0,1.042735705011508,1.2980485796132728,0.4325175049784801
Fortaleza,2,4,115.0,29100.0,29099.1083,4560000,13058571.0,2280,6817.0,0.9999693573883162,2.863721710526316,2.989912280701754
Cashback Resgate,1,2,42.0,26867.51953125,25004.4,392760,534623.0,2355,2385.0,0.9306553204852804,1.3611951318871576,1.0127388535031847
Inauguracao,1,1,0.0,24797.5,0.0,3542500,0.0,18233,0.0,0.0,0.0,0.0
Fds3 Ofertasbr,1,1,4.0,24547.130859375,24547.13,1636475,3046794.0,4091,4472.0,0.9999999649908169,1.8618029606318458,1.0931312637496944
Fds2 Ofertasbr,1,1,4.0,24547.130859375,24547.13,1636475,1875971.0,4091,3496.0,0.9999999649908169,1.146348706824119,0.8545587875824981
Fds2,1,1,7.0,19186.19921875,19186.2,1279080,1267473.0,3197,2519.0,1.000000040719373,0.9909255089595647,0.7879261807944948
Fds3,1,1,4.0,19186.19921875,19186.2,1279080,874994.0,3197,1718.0,1.000000040719373,0.6840807455358539,0.5373787926180794
Especial Cabelos,1,1,13.0,5000.0,5000.0,1250000,1785118.0,1872,1979.0,1.0,1.4280944,1.0571581196581197
Joao Pessoa - Não Pulavel,1,1,26.0,0.0,5949.3076,0,558959.0,0,694.0,,,
