Campanha,tem_plano
Acao*Cashback,False
Alcance,False
Almoco*Pascoa,False
Always On,False
Aniversario,False
Antecipa Black,False
Australian Gold,False
Beleza Cuidados,False
Beleza E Cuidado,False
Black Friday,False
Cadence*Trade,False
Casa Limpa,False
Casa Limpa 3m,False
Casa Limpa Organizada,False
Casa Pratica,False
Casa*Flora,False
Cashback,True
Cashback Resgate,True
Cashblack,False
Catupiry,False
Colgate,False
Dia Das Maes,False
Dia Dos Pais,False
Dia*Das*Maes,False
Dia*Do*Cafe,False
Diageo*Trade,False
Engajamento,False
Especial Cabelos,True
Especial Vinhos,False
Especial*Cabelos,False
Esquenta Black,False
Eze Creperie,False
Facebook,False
Fds1,True
Fds1 Out,False
Fds1 Set,False
Fds1*Cashback,False
Fds1*Cashback*Influenciador,False
Fds2,True
Fds2 Ofertasbr,True
Fds2*Passe*Livre,False
Fds3,True
Fds3 Ofertasbr,True
Fds4,False
Fds4 Ofertasbr,False
Fds4*Adicional*Bebidas,False
Fds5,False
Fds5 Ofertasbr,False
Feira de Santana,True
Festival Drink,False
Festival Pet,False
Festival*Bebe,False
Festival*Casa*Conectada,False
Festival*Casa*Limpa,False
Festival*Cuide*Se,False
Festival*Da*Limpeza,False
Festival*Eletro,False
Festival*Eletro*Influenciador,False
Festival*Energia,False
Festival*Fitness,False
Festival*Limpeza*Influenciador,False
Filme2,False
Filme3,False
Filme4,False
Filme5,False
Fortaleza,True
Freeshop,True
Freeshop From Like To Love,False
Freeshop Gui,False
Freeshop Jesk,False
Freeshop Time To Try,False
Freeshop Vini,False
Glenlivet,False
Gourmet Pascoa,False
Granut,False
Happy Hour,False
Happy*Hour,False
Hardsell,False
Hora Do Cafe,False
Hora Do Gin,False
Impulsionamento Aon,False
Impulsionamento Black Friday,False
Impulsionamentos,True
Inauguracao,True
Inauguracao Barra,False
Inauguracao Bonoco,False
Inauguracao Cristal,False
Inauguracao Florianopolis,False
Inauguracao Lauro,False
Inauguracao*Barra,False
Inauguracao*Barra*Interesses,False
Inauguracao*Barra*Lal,False
Inauguracao*Bonoco,False
Inauguracao*Franca,False
Inauguracao*Granja,False
Inauguracao*Granja*Viana,False
Inauguracao*Granja*Viana*Display,False
Inauguracao*Lauro,False
Indaiatuba,False
Influenciador,False
Influenciador*Mega*Fds,False
Inseticidas,False
Inverno Perfumaria,False
Jabaquara,False
Joao Pessoa,True
Joao Pessoa - Não Pulavel,True
Lindt Pascoa,False
Maceio,True
Maes*Imperdiveis,False
Marcasung,False
Material Didatico,False
Material Didatico Emb Economicas Novidades,False
Material Didatico Influ,False
Material Didatico Parceiros Cashback,False
Material Didatico Queridinhos So Tem No Marcas,False
Mega Day,True
Mega*Day,False
Mega*Fds,False
Members Mark,False
Momento Saude,False
Momentos De Cuidado,False
Motivos De Ser Marcas,False
Mundo*Das*Delicias,False
Natal,False
Natal Angola,False
Natal Japao,False
Natal Previa,False
Natal Ucrania,False
Negociacao Especial,False
Novidades,False
Novidades Marcas,False
Novo Posicionamento,False
Novo*Posicionamento,False
Novo*Posicionamento*Filme2,False
Novo*Posicionamento*Filme3,False
Novo*Posicionamento*Filme4,False
Novo*Posicionamento*Filme5,False
Novo*Posicionamento*Hero,False
Oportunidades Incriveis,True
Pampulha,False
Pao De Queijo,False
Pascoa,False
Pascoa Aquecimento,False
Pascoa Lancamento,False
Pascoa Sustentacao,False
Pascoa*Tiktok,False
Passe Livre,False
Passe*Livre,False
Patrocinados Lg,False
Pescados,False
Pre*Carnaval,False
Reckitt,False
Redessocias Influenciadores,False
Reforco Barra,False
Reforco Bonoco,False
Reforco Franca,False
Reforco Granja Viana,False
Reforco Joinville,False
Reforco Lauro De Freitas,False
Reforco Lauro E Bonoco,False
Reforco Passe Livre,False
Resgate De Cupom,False
Semana Da Mulher,False
Semana*Da*Mulher,False
Semana*Do*Consumidor,False
So Tem No Marcas,False
Socio*Week,False
Socio*Week*Influenciador,False
Solucao Da Casa,False
Solucao*Da*Casa,False
Sundown,False
Super*Bowl,False
Sustentacao*Teresina,False
Taste Room,False
Teste*Ecomm,False
Teste*Ecomm*Clique*Retire,False
Teste*Ecomm*Primeira*Compra,False
Textil,False
Trademkt Bebidas,False
Trafego,False
Tudo Para Seu Bebe,False
Uberlandia,True
Volta*As*Aulas,False
Youtube,False
Zorba,False
