flight_id,Campanha,Veiculo,campanha_veiculo,Modalidade,Objetivo,Publico,data_inicio,data_termino,dias_planejados,investimento_planejado,impressoes_planejadas,cliques_planejados
0,Cashback,Meta Ads,Cashback | Meta Ads,Regular,Alcance,Socios,2024-05-28,2024-06-07,10.0,64600.0,6460000,12920
1,Cashback,Meta Ads,Cashback | Meta Ads,Regular,Alcance,Socios,2024-07-01,2024-07-07,6.0,41040.0,2160000,4320
2,Cashback Resgate,Meta Ads,Cashback Resgate | Meta Ads,Regular,Alcance,Socios,2024-06-10,2024-06-30,20.0,19847.51953125,257760,1546
3,Cashback Resgate,Meta Ads,Cashback Resgate | Meta Ads,Regular,Alcance,Socios,2024-07-08,2024-07-31,23.0,7020.0,135000,809
4,Especial Cabelos,Meta Ads,Especial Cabelos | Meta Ads,Trade,Alcance,Socios,2024-06-11,2024-06-23,12.0,5000.0,1250000,1872
5,Fds1,Meta Ads,Fds1 | Meta Ads,Regular,Alcance,Socios,2024-06-06,2024-06-09,3.0,30400.0,3800000,9500
6,Fds1,Meta Ads,Fds1 | Meta Ads,Regular,Alcance,Socios,2024-07-04,2024-07-07,3.0,45600.0,4560000,11400
7,Fds2,Meta Ads,Fds2 | Meta Ads,Regular,Alcance,Socios,2024-06-13,2024-06-19,6.0,19186.19921875,1279080,3197
8,Fds2 Ofertasbr,Meta Ads,Fds2 Ofertasbr | Meta Ads,Regular,Alcance,Socios,2024-06-13,2024-06-16,3.0,24547.130859375,1636475,4091
9,Fds3,Meta Ads,Fds3 | Meta Ads,Regular,Alcance,Socios,2024-06-20,2024-06-23,3.0,19186.19921875,1279080,3197
10,Fds3 Ofertasbr,Meta Ads,Fds3 Ofertasbr | Meta Ads,Regular,Alcance,Socios,2024-06-20,2024-06-23,3.0,24547.130859375,1636475,4091
11,Feira de Santana,Meta Ads,Feira de Santana | Meta Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,13526.400390625,2254400,4508
12,Feira de Santana,Youtube Ads,Feira de Santana | Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,13440.0,1680000,5033
13,Feira de Santana,Meta Ads,Feira de Santana | Meta Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,13526.400390625,2254400,4508
14,Feira de Santana,Youtube Ads,Feira de Santana | Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,13440.0,1680000,5033
15,Fortaleza,Meta Ads,Fortaleza | Meta Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,4950.0,990000,495
16,Fortaleza,Youtube Ads,Fortaleza | Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,4200.0,420000,210
17,Fortaleza,Meta Ads,Fortaleza | Meta Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,11550.0,2310000,1155
18,Fortaleza,Youtube Ads,Fortaleza | Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,8400.0,840000,420
19,Freeshop,Meta Ads,Freeshop | Meta Ads,Regular,Alcance,Nao Socios,2024-06-17,2024-06-30,13.0,99257.5625,33085853,330858
20,Freeshop,Meta Ads,Freeshop | Meta Ads,Regular,Alcance,Socios,2024-06-17,2024-06-30,13.0,20900.0,1900000,19000
21,Freeshop,Meta Ads,Freeshop | Meta Ads,Trade,Alcance,Socios,2024-06-18,2024-06-30,12.0,5000.0,1250000,1872
22,Freeshop,Meta Ads,Freeshop | Meta Ads,Trade,Alcance,Socios,2024-06-18,2024-07-08,20.0,5000.0,1250000,1872
23,Impulsionamentos,Meta Ads,Impulsionamentos | Meta Ads,Regular,Engajamento,Socios,2024-06-01,2024-06-30,29.0,74500.0,7450000,37250
24,Impulsionamentos,Tiktok Ads,Impulsionamentos | Tiktok Ads,Regular,Video Views,Socios,2024-06-01,2024-06-30,29.0,46000.0,4600000,23000
25,Impulsionamentos,Meta Ads,Impulsionamentos | Meta Ads,Regular,Engajamento,Socios,2024-07-01,2024-07-31,30.0,32666.669921875,3266667,16333
26,Impulsionamentos,Tiktok Ads,Impulsionamentos | Tiktok Ads,Regular,Video Views,Socios,2024-07-01,2024-07-31,30.0,16333.330078125,1088888,5444
27,Inauguracao,Tiktok Ads,Inauguracao | Tiktok Ads,Regular,Alcance,Nao Socios,2024-07-19,2024-07-31,12.0,24797.5,3542500,18233
28,Joao Pessoa,Meta Ads,Joao Pessoa | Meta Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,22616.80078125,5654200,17005
29,Joao Pessoa,Youtube Ads,Joao Pessoa | Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,,0,0
30,Joao Pessoa,Meta Ads,Joao Pessoa | Meta Ads,Inauguracao,Alcance,Socios,2024-06-01,2024-06-30,29.0,3060.0,170000,1700
31,Joao Pessoa,Youtube Ads,Joao Pessoa | Youtube Ads,Inauguracao,Alcance,Socios,2024-06-01,2024-06-30,29.0,3570.0,170000,510
32,Joao Pessoa,Tiktok Ads,Joao Pessoa | Tiktok Ads,Regular,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,11919.0,2383800,11919
33,Joao Pessoa - Não Pulavel,Youtube Ads,Joao Pessoa - Não Pulavel | Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,,0,0
34,Maceio,Meta Ads,Maceio | Meta Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,13899.599609375,1069200,534
35,Maceio,Youtube Ads,Maceio | Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,10692.0,1069200,534
36,Maceio,Meta Ads,Maceio | Meta Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,30888.0,7722000,6177
37,Maceio,Youtube Ads,Maceio | Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,30888.0,2574000,2059
38,Mega Day,Meta Ads,Mega Day | Meta Ads,Regular,Alcance,Socios,2024-06-12,2024-06-19,7.0,42560.0,5320000,13300
39,Mega Day,Meta Ads,Mega Day | Meta Ads,Regular,Alcance,Socios,2024-07-08,2024-07-17,9.0,59280.0,4560000,11400
40,Oportunidades Incriveis,Meta Ads,Oportunidades Incriveis | Meta Ads,Regular,Alcance,Socios,2024-07-05,2024-07-18,13.0,45000.0,4500000,11250
41,Uberlandia,Meta Ads,Uberlandia | Meta Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,9743.580078125,1771560,3543
42,Uberlandia,Youtube Ads,Uberlandia | Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,8731.16015625,1091395,3270
43,Uberlandia,Meta Ads,Uberlandia | Meta Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,17082.900390625,2847150,5694
44,Uberlandia,Youtube Ads,Uberlandia | Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,15232.0,1904000,5704
