entrega_id,campaign_name,Campanha,Veiculo,campanha_veiculo,Modalidade,Objetivo,Publico,data,investimento_realizado,impressoes_realizadas,cliques_realizados,dentro_do_plano,motivo_fora
45,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-04,79.12,10454,13,False,campanha sem plano
46,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-05,117.65,21188,26,False,campanha sem plano
47,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-06,64.87,9843,10,False,campanha sem plano
48,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-07,68.93,8195,11,False,campanha sem plano
49,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-08,73.2,7188,15,False,campanha sem plano
50,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-09,17.38,1729,3,False,campanha sem plano
51,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-11,30.63,495,15,False,campanha sem plano
52,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-12,6.379999999999999,45,1,False,campanha sem plano
53,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-13,3.1,35,0,False,campanha sem plano
54,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-14,3.17,30,2,False,campanha sem plano
55,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-15,0.99,16,0,False,campanha sem plano
56,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-16,1.35,19,1,False,campanha sem plano
57,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-17,0.78,16,0,False,campanha sem plano
58,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-18,24.14,387,3,False,campanha sem plano
59,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-19,3.46,51,2,False,campanha sem plano
60,Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,Alcance | Meta Ads,Acaocashback Janeiro,Alcance,N/a,2023-01-20,0.8,10,0,False,campanha sem plano
61,Marcasfilial_filial_acao-influenciadora-lais-cintra_engajamento_2301,Engajamento,Meta Ads,Engajamento | Meta Ads,Acao Influenciadora Lais Cintra,Engajamento,N/a,2023-01-25,10000.0,266813,2087,False,campanha sem plano
62,Marcasfilial_filial_acao-influenciadores-fds4-nao-socio_engajamento_2301,Engajamento,Meta Ads,Engajamento | Meta Ads,Acao Influenciadores Fds4 Nao Socio,Engajamento,N/a,2023-01-27,1292.23,91793,2017,False,campanha sem plano
63,Marcasfilial_filial_acao-influenciadores-fds4-nao-socio_engajamento_2301,Engajamento,Meta Ads,Engajamento | Meta Ads,Acao Influenciadores Fds4 Nao Socio,Engajamento,N/a,2023-01-28,3574.61,284715,7505,False,campanha sem plano
64,Marcasfilial_filial_acao-influenciadores-fds4-nao-socio_engajamento_2301,Engajamento,Meta Ads,Engajamento | Meta Ads,Acao Influenciadores Fds4 Nao Socio,Engajamento,N/a,2023-01-29,3133.16,316891,6354,False,campanha sem plano
65,Marcasfilial_filial_acao-influenciadores-fds4-socio_engajamento_2301,Engajamento,Meta Ads,Engajamento | Meta Ads,Acao Influenciadores Fds4 Socio,Engajamento,N/a,2023-01-27,1905.71,111857,1763,False,campanha sem plano
66,Marcasfilial_filial_acao-influenciadores-fds4-socio_engajamento_2301,Engajamento,Meta Ads,Engajamento | Meta Ads,Acao Influenciadores Fds4 Socio,Engajamento,N/a,2023-01-28,4974.55,324441,5165,False,campanha sem plano
67,Marcasfilial_filial_acao-influenciadores-fds4-socio_engajamento_2301,Engajamento,Meta Ads,Engajamento | Meta Ads,Acao Influenciadores Fds4 Socio,Engajamento,N/a,2023-01-29,5119.74,436678,4380,False,campanha sem plano
68,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,Inauguracao Barra | Meta Ads,Inauguracao,Alcance,Nao Socios,2023-08-03,557.42,87723,174,False,campanha sem plano
69,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,Inauguracao Barra | Tiktok Ads,Inauguracao,Alcance,Nao Socios,2023-08-03,59.91,28735,38,False,campanha sem plano
70,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,Inauguracao Barra | Meta Ads,Inauguracao,Alcance,Nao Socios,2023-08-04,1167.49,87879,322,False,campanha sem plano
71,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,Inauguracao Barra | Tiktok Ads,Inauguracao,Alcance,Nao Socios,2023-08-04,299.86,122698,194,False,campanha sem plano
72,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,Inauguracao Barra | Meta Ads,Inauguracao,Alcance,Nao Socios,2023-08-05,1277.26,47729,261,False,campanha sem plano
73,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,Inauguracao Barra | Tiktok Ads,Inauguracao,Alcance,Nao Socios,2023-08-05,525.07,226053,370,False,campanha sem plano
74,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,Inauguracao Barra | Meta Ads,Inauguracao,Alcance,Nao Socios,2023-08-06,1422.09,53145,212,False,campanha sem plano
