Campanha,Veiculo,inicio,termino,n_flights,dias_entrega,plan_Soma de Investimento,plan_Soma de Impressoes,plan_Soma de Cliques,real_Soma de Investimento,real_Soma de Impressoes,real_Soma de Cliques,pacing_investimento,pacing_impressoes,pacing_cliques,slug
Cashback,Meta Ads,2024-05-28,2024-06-07,1,11,64600.0,6460000,12920,64597.44,3904844.0,9711.0,0.9999603715170279,0.6044650154798762,0.7516253869969041,cashback_meta_ads_0528
Cashback,Meta Ads,2024-07-01,2024-07-07,1,7,41040.0,2160000,4320,41040.0,4431501.0,8015.0,1.0,2.0516208333333332,1.8553240740740742,cashback_meta_ads_0701
Cashback Resgate,Meta Ads,2024-06-10,2024-06-30,1,20,19847.51953125,257760,1546,17984.4,283989.0,1224.0,0.9061283437299805,1.1017574487895716,0.7917205692108668,cashback_resgate_meta_ads_0610
Cashback Resgate,Meta Ads,2024-07-08,2024-07-31,1,22,7020.0,135000,809,7020.0,250634.0,1161.0,1.0,1.856548148148148,1.435105067985167,cashback_resgate_meta_ads_0708
Especial Cabelos,Meta Ads,2024-06-11,2024-06-23,1,13,5000.0,1250000,1872,5000.0,1785118.0,1979.0,1.0,1.4280944,1.0571581196581197,especial_cabelos_meta_ads_0611
Fds1,Meta Ads,2024-06-06,2024-06-09,1,4,30400.0,3800000,9500,30400.0,2021984.0,5190.0,1.0,0.5321010526315789,0.5463157894736842,fds1_meta_ads_0606
Fds1,Meta Ads,2024-07-04,2024-07-07,1,4,45600.0,4560000,11400,45600.0,4180127.0,7493.0,1.0,0.9166945175438597,0.6572807017543859,fds1_meta_ads_0704
Fds2,Meta Ads,2024-06-13,2024-06-19,1,7,19186.19921875,1279080,3197,19186.2,1267473.0,2519.0,1.000000040719373,0.9909255089595647,0.7879261807944948,fds2_meta_ads_0613
Fds2 Ofertasbr,Meta Ads,2024-06-13,2024-06-16,1,4,24547.130859375,1636475,4091,24547.13,1875971.0,3496.0,0.9999999649908169,1.146348706824119,0.8545587875824981,fds2_ofertasbr_meta_ads_0613
Fds3,Meta Ads,2024-06-20,2024-06-23,1,4,19186.19921875,1279080,3197,19186.2,874994.0,1718.0,1.000000040719373,0.6840807455358539,0.5373787926180794,fds3_meta_ads_0620
Fds3 Ofertasbr,Meta Ads,2024-06-20,2024-06-23,1,4,24547.130859375,1636475,4091,24547.13,3046794.0,4472.0,0.9999999649908169,1.8618029606318458,1.0931312637496944,fds3_ofertasbr_meta_ads_0620
Feira de Santana,Meta Ads,2024-06-01,2024-06-30,1,28,13526.400390625,2254400,4508,10144.8,4825132.0,4128.0,0.7499999783409671,2.140317601135557,0.9157054125998225,feira_de_santana_meta_ads_0601
Feira de Santana,Meta Ads,2024-07-01,2024-07-31,1,31,13526.400390625,2254400,4508,13526.4,5977295.0,4507.0,0.9999999711212896,2.651390613910575,0.9997781721384206,feira_de_santana_meta_ads_0701
Feira de Santana,Youtube Ads,2024-06-01,2024-06-30,1,25,13440.0,1680000,5033,13438.9003,1074215.0,2346.0,0.9999181770833333,0.6394136904761905,0.466123584343334,feira_de_santana_youtube_ads_0601
Feira de Santana,Youtube Ads,2024-07-01,2024-07-31,1,31,13440.0,1680000,5033,13437.277399999999,1308771.0,3357.0,0.999797425595238,0.7790303571428572,0.6669978144247963,feira_de_santana_youtube_ads_0701
Fortaleza,Meta Ads,2024-06-01,2024-06-30,1,28,4950.0,990000,495,4949.69,3486531.0,2295.0,0.9999373737373737,3.521748484848485,4.636363636363637,fortaleza_meta_ads_0601
Fortaleza,Meta Ads,2024-07-01,2024-07-31,1,31,11550.0,2310000,1155,11550.300000000001,8122664.0,3798.0,1.000025974025974,3.516304761904762,3.2883116883116883,fortaleza_meta_ads_0701
Fortaleza,Youtube Ads,2024-06-01,2024-06-30,1,25,4200.0,420000,210,4200.2319,462621.0,180.0,1.0000552142857142,1.1014785714285715,0.8571428571428571,fortaleza_youtube_ads_0601
Fortaleza,Youtube Ads,2024-07-01,2024-07-31,1,31,8400.0,840000,420,8398.8864,986755.0,544.0,0.9998674285714285,1.1747083333333332,1.2952380952380953,fortaleza_youtube_ads_0701
Freeshop,Meta Ads,2024-06-17,2024-07-08,4,22,130157.5625,37485853,353602,166957.62,42784676.0,40607.0,1.2827346855085735,1.1413552734147465,0.11483815136792212,freeshop_meta_ads_0617
Impulsionamentos,Meta Ads,2024-06-01,2024-06-30,1,27,74500.0,7450000,37250,74500.0,6827257.0,39765.0,1.0,0.9164103355704698,1.06751677852349,impulsionamentos_meta_ads_0601
Impulsionamentos,Meta Ads,2024-07-01,2024-07-31,1,26,32666.669921875,3266667,16333,29421.98,2981967.0,31387.0,0.9006727673915051,0.9128469476686788,1.9216922794342741,impulsionamentos_meta_ads_0701
Impulsionamentos,Tiktok Ads,2024-06-01,2024-06-30,1,19,46000.0,4600000,23000,22325.39,1251351.0,2679.0,0.48533456521739127,0.2720328260869565,0.11647826086956521,impulsionamentos_tiktok_ads_0601
Impulsionamentos,Tiktok Ads,2024-07-01,2024-07-31,1,20,16333.330078125,1088888,5444,13054.710000000001,859566.0,2044.0,0.7992681184765862,0.7893979913452991,0.37545922116091107,impulsionamentos_tiktok_ads_0701
Inauguracao,Tiktok Ads,2024-07-19,2024-07-31,1,0,24797.5,3542500,18233,0.0,0.0,0.0,0.0,0.0,0.0,inauguracao_tiktok_ads_0719
Joao Pessoa,Meta Ads,2024-06-01,2024-06-30,2,30,25676.80078125,5824200,18705,25676.79,9607978.0,9352.0,0.9999995801170835,1.6496648466742214,0.4999732691793638,joao_pessoa_meta_ads_0601
Joao Pessoa,Tiktok Ads,2024-06-01,2024-06-30,1,18,11919.0,2383800,11919,11910.15,709911.0,2782.0,0.999257488044299,0.29780644349358165,0.2334088430237436,joao_pessoa_tiktok_ads_0601
Joao Pessoa,Youtube Ads,2024-06-01,2024-06-30,2,26,3570.0,170000,510,5338.1103,557162.0,1332.0,1.4952689915966388,3.277423529411765,2.611764705882353,joao_pessoa_youtube_ads_0601
