Campanha,Veiculo,inicio,termino,n_flights,ids_flight,plan_Soma de Investimento,plan_Soma de Impressoes,plan_Soma de Cliques,plan_investimento_nulo,real_Soma de Investimento,real_Soma de Impressoes,real_Soma de Cliques,linhas_realizado,pacing_investimento,pacing_impressoes,pacing_cliques
Cashback,Meta Ads,2024-05-28,2024-06-07,1,[0],64600.0,6460000,12920,0,64597.44,3904844.0,9711.0,11,0.9999603715170279,0.6044650154798762,0.7516253869969041
Cashback,Meta Ads,2024-07-01,2024-07-07,1,[1],41040.0,2160000,4320,0,41040.0,4431501.0,8015.0,7,1.0,2.0516208333333332,1.8553240740740742
Cashback Resgate,Meta Ads,2024-06-10,2024-06-30,1,[2],19847.51953125,257760,1546,0,17984.4,283989.0,1224.0,20,0.9061283437299805,1.1017574487895716,0.7917205692108668
Cashback Resgate,Meta Ads,2024-07-08,2024-07-31,1,[3],7020.0,135000,809,0,7020.0,250634.0,1161.0,22,1.0,1.856548148148148,1.435105067985167
Especial Cabelos,Meta Ads,2024-06-11,2024-06-23,1,[4],5000.0,1250000,1872,0,5000.0,1785118.0,1979.0,13,1.0,1.4280944,1.0571581196581197
Fds1,Meta Ads,2024-06-06,2024-06-09,1,[5],30400.0,3800000,9500,0,30400.0,2021984.0,5190.0,4,1.0,0.5321010526315789,0.5463157894736842
Fds1,Meta Ads,2024-07-04,2024-07-07,1,[6],45600.0,4560000,11400,0,45600.0,4180127.0,7493.0,4,1.0,0.9166945175438597,0.6572807017543859
Fds2,Meta Ads,2024-06-13,2024-06-19,1,[7],19186.19921875,1279080,3197,0,19186.2,1267473.0,2519.0,7,1.000000040719373,0.9909255089595647,0.7879261807944948
Fds2 Ofertasbr,Meta Ads,2024-06-13,2024-06-16,1,[8],24547.130859375,1636475,4091,0,24547.13,1875971.0,3496.0,4,0.9999999649908169,1.146348706824119,0.8545587875824981
Fds3,Meta Ads,2024-06-20,2024-06-23,1,[9],19186.19921875,1279080,3197,0,19186.2,874994.0,1718.0,4,1.000000040719373,0.6840807455358539,0.5373787926180794
Fds3 Ofertasbr,Meta Ads,2024-06-20,2024-06-23,1,[10],24547.130859375,1636475,4091,0,24547.13,3046794.0,4472.0,4,0.9999999649908169,1.8618029606318458,1.0931312637496944
Feira de Santana,Meta Ads,2024-06-01,2024-06-30,1,[11],13526.400390625,2254400,4508,0,10144.8,4825132.0,4128.0,28,0.7499999783409671,2.140317601135557,0.9157054125998225
Feira de Santana,Meta Ads,2024-07-01,2024-07-31,1,[13],13526.400390625,2254400,4508,0,13526.4,5977295.0,4507.0,31,0.9999999711212896,2.651390613910575,0.9997781721384206
Feira de Santana,Youtube Ads,2024-06-01,2024-06-30,1,[12],13440.0,1680000,5033,0,13438.9003,1074215.0,2346.0,25,0.9999181770833333,0.6394136904761905,0.466123584343334
