Campanha,plan_Soma de Investimento,plan_Soma de Impressoes,plan_Soma de Cliques,real_Soma de Investimento,real_Soma de Impressoes,real_Soma de Cliques,pacing_investimento,pacing_impressoes,pacing_cliques
Inauguracao,24797.5,3542500,18233,0.0,0.0,0.0,0.0,0.0,0.0
Mega Day,101840.0,9880000,24700,101840.0,6010285.0,39835.0,1.0,0.6083284412955465,1.6127530364372469
Fds3,19186.19921875,1279080,3197,19186.2,874994.0,1718.0,1.000000040719373,0.6840807455358539,0.5373787926180794
Impulsionamentos,169500.0,16405555,82027,139302.08,11920141.0,75875.0,0.8218411799410029,0.7265917550488235,0.9250003047776951
Fds1,76000.0,8360000,20900,76000.0,6202111.0,12683.0,1.0,0.7418793062200957,0.6068421052631578
Cashback,105640.0,8620000,17240,105637.44,8336345.0,17726.0,0.9999757667550171,0.9670933874709977,1.0281902552204176
Fds2,19186.19921875,1279080,3197,19186.2,1267473.0,2519.0,1.000000040719373,0.9909255089595647,0.7879261807944948
Freeshop,130157.5625,37485853,353602,166957.62,42784676.0,40607.0,1.2827346855085735,1.1413552734147465,0.11483815136792212
Fds2 Ofertasbr,24547.130859375,1636475,4091,24547.13,1875971.0,3496.0,0.9999999649908169,1.146348706824119,0.8545587875824981
Joao Pessoa,41165.80078125,8378000,31134,42925.0503,10875051.0,13466.0,1.042735705011508,1.2980485796132728,0.4325175049784801
Cashback Resgate,26867.51953125,392760,2355,25004.4,534623.0,2385.0,0.9306553204852804,1.3611951318871576,1.0127388535031847
Especial Cabelos,5000.0,1250000,1872,5000.0,1785118.0,1979.0,1.0,1.4280944,1.0571581196581197
Oportunidades Incriveis,45000.0,4500000,11250,45000.0,6849360.0,14106.0,1.0,1.52208,1.2538666666666667
Feira de Santana,53932.80078125,7868800,19082,50547.3777,13185413.0,14338.0,0.9372288656956425,1.675657406466043,0.7513887433183104
Fds3 Ofertasbr,24547.130859375,1636475,4091,24547.13,3046794.0,4472.0,0.9999999649908169,1.8618029606318458,1.0931312637496944
Uberlandia,50789.640625,7614105,18211,50788.414899999996,14501612.0,12790.0,0.9999758666337284,1.904572106636302,0.7023227719510187
Maceio,86367.599609375,12434400,9304,115817.0218,23763969.0,31769.0,1.3409776620378406,1.9111472206137812,3.4145528804815135
Fortaleza,29100.0,4560000,2280,29099.1083,13058571.0,6817.0,0.9999693573883162,2.863721710526316,2.989912280701754
