id_bloco,campanha,veiculo,inicio,termino,n_flights,ids_flight,plan_investimento,plan_impressoes,plan_cliques,plan_investimento_nulo,tem_meta
0,Cashback,Meta Ads,2024-05-28,2024-06-07,1,0,64600.0,6460000,12920,0,True
1,Cashback,Meta Ads,2024-07-01,2024-07-07,1,1,41040.0,2160000,4320,0,True
2,Cashback Resgate,Meta Ads,2024-06-10,2024-06-30,1,2,19847.51953125,257760,1546,0,True
3,Cashback Resgate,Meta Ads,2024-07-08,2024-07-31,1,3,7020.0,135000,809,0,True
4,Especial Cabelos,Meta Ads,2024-06-11,2024-06-23,1,4,5000.0,1250000,1872,0,True
5,Fds1,Meta Ads,2024-06-06,2024-06-09,1,5,30400.0,3800000,9500,0,True
6,Fds1,Meta Ads,2024-07-04,2024-07-07,1,6,45600.0,4560000,11400,0,True
7,Fds2,Meta Ads,2024-06-13,2024-06-19,1,7,19186.19921875,1279080,3197,0,True
8,Fds2 Ofertasbr,Meta Ads,2024-06-13,2024-06-16,1,8,24547.130859375,1636475,4091,0,True
9,Fds3,Meta Ads,2024-06-20,2024-06-23,1,9,19186.19921875,1279080,3197,0,True
10,Fds3 Ofertasbr,Meta Ads,2024-06-20,2024-06-23,1,10,24547.130859375,1636475,4091,0,True
11,Feira de Santana,Meta Ads,2024-06-01,2024-06-30,1,11,13526.400390625,2254400,4508,0,True
12,Feira de Santana,Meta Ads,2024-07-01,2024-07-31,1,13,13526.400390625,2254400,4508,0,True
13,Feira de Santana,Youtube Ads,2024-06-01,2024-06-30,1,12,13440.0,1680000,5033,0,True
14,Feira de Santana,Youtube Ads,2024-07-01,2024-07-31,1,14,13440.0,1680000,5033,0,True
15,Fortaleza,Meta Ads,2024-06-01,2024-06-30,1,15,4950.0,990000,495,0,True
16,Fortaleza,Meta Ads,2024-07-01,2024-07-31,1,17,11550.0,2310000,1155,0,True
17,Fortaleza,Youtube Ads,2024-06-01,2024-06-30,1,16,4200.0,420000,210,0,True
18,Fortaleza,Youtube Ads,2024-07-01,2024-07-31,1,18,8400.0,840000,420,0,True
19,Freeshop,Meta Ads,2024-06-17,2024-07-08,4,19;20;21;22,130157.5625,37485853,353602,0,True
20,Impulsionamentos,Meta Ads,2024-06-01,2024-06-30,1,23,74500.0,7450000,37250,0,True
21,Impulsionamentos,Meta Ads,2024-07-01,2024-07-31,1,25,32666.669921875,3266667,16333,0,True
22,Impulsionamentos,Tiktok Ads,2024-06-01,2024-06-30,1,24,46000.0,4600000,23000,0,True
23,Impulsionamentos,Tiktok Ads,2024-07-01,2024-07-31,1,26,16333.330078125,1088888,5444,0,True
24,Inauguracao,Tiktok Ads,2024-07-19,2024-07-31,1,27,24797.5,3542500,18233,0,True
25,Joao Pessoa,Meta Ads,2024-06-01,2024-06-30,2,28;30,25676.80078125,5824200,18705,0,True
26,Joao Pessoa,Tiktok Ads,2024-06-01,2024-06-30,1,32,11919.0,2383800,11919,0,True
27,Joao Pessoa,Youtube Ads,2024-06-01,2024-06-30,2,29;31,3570.0,170000,510,1,True
28,Joao Pessoa - Não Pulavel,Youtube Ads,2024-06-01,2024-06-30,1,33,,0,0,1,False
29,Maceio,Meta Ads,2024-06-01,2024-06-30,1,34,13899.599609375,1069200,534,0,True
30,Maceio,Meta Ads,2024-07-01,2024-07-31,1,36,30888.0,7722000,6177,0,True
31,Maceio,Youtube Ads,2024-06-01,2024-06-30,1,35,10692.0,1069200,534,0,True
32,Maceio,Youtube Ads,2024-07-01,2024-07-31,1,37,30888.0,2574000,2059,0,True
33,Mega Day,Meta Ads,2024-06-12,2024-06-19,1,38,42560.0,5320000,13300,0,True
34,Mega Day,Meta Ads,2024-07-08,2024-07-17,1,39,59280.0,4560000,11400,0,True
35,Oportunidades Incriveis,Meta Ads,2024-07-05,2024-07-18,1,40,45000.0,4500000,11250,0,True
36,Uberlandia,Meta Ads,2024-06-01,2024-06-30,1,41,9743.580078125,1771560,3543,0,True
37,Uberlandia,Meta Ads,2024-07-01,2024-07-31,1,43,17082.900390625,2847150,5694,0,True
38,Uberlandia,Youtube Ads,2024-06-01,2024-06-30,1,42,8731.16015625,1091395,3270,0,True
39,Uberlandia,Youtube Ads,2024-07-01,2024-07-31,1,44,15232.0,1904000,5704,0,True
