id_flight,campanha,veiculo,investimento,impressoes,cliques,inicio,termino,dias_veiculacao,id_bloco
0,Cashback,Meta Ads,64600.0,6460000,12920,2024-05-28,2024-06-07,10.0,0
1,Cashback,Meta Ads,41040.0,2160000,4320,2024-07-01,2024-07-07,6.0,1
2,Cashback Resgate,Meta Ads,19847.51953125,257760,1546,2024-06-10,2024-06-30,20.0,2
3,Cashback Resgate,Meta Ads,7020.0,135000,809,2024-07-08,2024-07-31,23.0,3
4,Especial Cabelos,Meta Ads,5000.0,1250000,1872,2024-06-11,2024-06-23,12.0,4
5,Fds1,Meta Ads,30400.0,3800000,9500,2024-06-06,2024-06-09,3.0,5
6,Fds1,Meta Ads,45600.0,4560000,11400,2024-07-04,2024-07-07,3.0,6
7,Fds2,Meta Ads,19186.19921875,1279080,3197,2024-06-13,2024-06-19,6.0,7
8,Fds2 Ofertasbr,Meta Ads,24547.130859375,1636475,4091,2024-06-13,2024-06-16,3.0,8
9,Fds3,Meta Ads,19186.19921875,1279080,3197,2024-06-20,2024-06-23,3.0,9
10,Fds3 Ofertasbr,Meta Ads,24547.130859375,1636475,4091,2024-06-20,2024-06-23,3.0,10
11,Feira de Santana,Meta Ads,13526.400390625,2254400,4508,2024-06-01,2024-06-30,29.0,11
12,Feira de Santana,Youtube Ads,13440.0,1680000,5033,2024-06-01,2024-06-30,29.0,13
13,Feira de Santana,Meta Ads,13526.400390625,2254400,4508,2024-07-01,2024-07-31,30.0,12
14,Feira de Santana,Youtube Ads,13440.0,1680000,5033,2024-07-01,2024-07-31,30.0,14
15,Fortaleza,Meta Ads,4950.0,990000,495,2024-06-01,2024-06-30,29.0,15
16,Fortaleza,Youtube Ads,4200.0,420000,210,2024-06-01,2024-06-30,29.0,17
17,Fortaleza,Meta Ads,11550.0,2310000,1155,2024-07-01,2024-07-31,30.0,16
18,Fortaleza,Youtube Ads,8400.0,840000,420,2024-07-01,2024-07-31,30.0,18
19,Freeshop,Meta Ads,99257.5625,33085853,330858,2024-06-17,2024-06-30,13.0,19
20,Freeshop,Meta Ads,20900.0,1900000,19000,2024-06-17,2024-06-30,13.0,19
21,Freeshop,Meta Ads,5000.0,1250000,1872,2024-06-18,2024-06-30,12.0,19
22,Freeshop,Meta Ads,5000.0,1250000,1872,2024-06-18,2024-07-08,20.0,19
23,Impulsionamentos,Meta Ads,74500.0,7450000,37250,2024-06-01,2024-06-30,29.0,20
24,Impulsionamentos,Tiktok Ads,46000.0,4600000,23000,2024-06-01,2024-06-30,29.0,22
25,Impulsionamentos,Meta Ads,32666.669921875,3266667,16333,2024-07-01,2024-07-31,30.0,21
26,Impulsionamentos,Tiktok Ads,16333.330078125,1088888,5444,2024-07-01,2024-07-31,30.0,23
27,Inauguracao,Tiktok Ads,24797.5,3542500,18233,2024-07-19,2024-07-31,12.0,24
28,Joao Pessoa,Meta Ads,22616.80078125,5654200,17005,2024-06-01,2024-06-30,29.0,25
29,Joao Pessoa,Youtube Ads,,0,0,2024-06-01,2024-06-30,29.0,27
30,Joao Pessoa,Meta Ads,3060.0,170000,1700,2024-06-01,2024-06-30,29.0,25
31,Joao Pessoa,Youtube Ads,3570.0,170000,510,2024-06-01,2024-06-30,29.0,27
32,Joao Pessoa,Tiktok Ads,11919.0,2383800,11919,2024-06-01,2024-06-30,29.0,26
33,Joao Pessoa - Não Pulavel,Youtube Ads,,0,0,2024-06-01,2024-06-30,29.0,28
34,Maceio,Meta Ads,13899.599609375,1069200,534,2024-06-01,2024-06-30,29.0,29
35,Maceio,Youtube Ads,10692.0,1069200,534,2024-06-01,2024-06-30,29.0,31
36,Maceio,Meta Ads,30888.0,7722000,6177,2024-07-01,2024-07-31,30.0,30
37,Maceio,Youtube Ads,30888.0,2574000,2059,2024-07-01,2024-07-31,30.0,32
38,Mega Day,Meta Ads,42560.0,5320000,13300,2024-06-12,2024-06-19,7.0,33
39,Mega Day,Meta Ads,59280.0,4560000,11400,2024-07-08,2024-07-17,9.0,34
40,Oportunidades Incriveis,Meta Ads,45000.0,4500000,11250,2024-07-05,2024-07-18,13.0,35
41,Uberlandia,Meta Ads,9743.580078125,1771560,3543,2024-06-01,2024-06-30,29.0,36
42,Uberlandia,Youtube Ads,8731.16015625,1091395,3270,2024-06-01,2024-06-30,29.0,38
43,Uberlandia,Meta Ads,17082.900390625,2847150,5694,2024-07-01,2024-07-31,30.0,37
44,Uberlandia,Youtube Ads,15232.0,1904000,5704,2024-07-01,2024-07-31,30.0,39
