id_realizado,campanha,veiculo,data,investimento,impressoes,cliques,id_bloco,no_pacing
0,Alcance,Meta Ads,2023-01-04,79.12,10454,13,,False
1,Alcance,Meta Ads,2023-01-05,117.65,21188,26,,False
2,Alcance,Meta Ads,2023-01-06,64.87,9843,10,,False
3,Alcance,Meta Ads,2023-01-07,68.93,8195,11,,False
4,Alcance,Meta Ads,2023-01-08,73.2,7188,15,,False
5,Alcance,Meta Ads,2023-01-09,17.38,1729,3,,False
6,Alcance,Meta Ads,2023-01-11,30.63,495,15,,False
7,Alcance,Meta Ads,2023-01-12,6.379999999999999,45,1,,False
8,Alcance,Meta Ads,2023-01-13,3.1,35,0,,False
9,Alcance,Meta Ads,2023-01-14,3.17,30,2,,False
10,Alcance,Meta Ads,2023-01-15,0.99,16,0,,False
11,Alcance,Meta Ads,2023-01-16,1.35,19,1,,False
12,Alcance,Meta Ads,2023-01-17,0.78,16,0,,False
13,Alcance,Meta Ads,2023-01-18,24.14,387,3,,False
14,Alcance,Meta Ads,2023-01-19,3.46,51,2,,False
15,Alcance,Meta Ads,2023-01-20,0.8,10,0,,False
16,Engajamento,Meta Ads,2023-01-25,10000.0,266813,2087,,False
17,Engajamento,Meta Ads,2023-01-27,1292.23,91793,2017,,False
18,Engajamento,Meta Ads,2023-01-28,3574.61,284715,7505,,False
19,Engajamento,Meta Ads,2023-01-29,3133.16,316891,6354,,False
20,Engajamento,Meta Ads,2023-01-27,1905.71,111857,1763,,False
21,Engajamento,Meta Ads,2023-01-28,4974.55,324441,5165,,False
22,Engajamento,Meta Ads,2023-01-29,5119.74,436678,4380,,False
23,Inauguracao Barra,Meta Ads,2023-08-03,557.42,87723,174,,False
24,Inauguracao Barra,Tiktok Ads,2023-08-03,59.91,28735,38,,False
25,Inauguracao Barra,Meta Ads,2023-08-04,1167.49,87879,322,,False
26,Inauguracao Barra,Tiktok Ads,2023-08-04,299.86,122698,194,,False
27,Inauguracao Barra,Meta Ads,2023-08-05,1277.26,47729,261,,False
28,Inauguracao Barra,Tiktok Ads,2023-08-05,525.07,226053,370,,False
29,Inauguracao Barra,Meta Ads,2023-08-06,1422.09,53145,212,,False
30,Inauguracao Barra,Tiktok Ads,2023-08-06,525.44,214964,374,,False
31,Inauguracao Barra,Meta Ads,2023-08-07,1286.99,37164,193,,False
32,Inauguracao Barra,Tiktok Ads,2023-08-07,526.46,185274,315,,False
33,Inauguracao Barra,Meta Ads,2023-08-08,1277.78,36297,174,,False
34,Inauguracao Barra,Tiktok Ads,2023-08-08,512.19,169288,291,,False
35,Inauguracao Barra,Meta Ads,2023-08-09,1226.74,29033,160,,False
36,Inauguracao Barra,Tiktok Ads,2023-08-09,525.54,171352,289,,False
37,Inauguracao Barra,Meta Ads,2023-08-10,1486.3,52534,213,,False
38,Inauguracao Barra,Tiktok Ads,2023-08-10,532.9,163987,287,,False
39,Inauguracao Barra,Meta Ads,2023-08-11,1335.41,79517,308,,False
40,Inauguracao Barra,Tiktok Ads,2023-08-11,527.88,164106,293,,False
41,Inauguracao Barra,Meta Ads,2023-08-12,1297.44,54044,236,,False
42,Inauguracao Barra,Tiktok Ads,2023-08-12,511.44,178559,309,,False
43,Inauguracao Barra,Meta Ads,2023-08-13,1405.06,49634,206,,False
44,Inauguracao Barra,Tiktok Ads,2023-08-13,521.6,193408,313,,False
45,Inauguracao Barra,Meta Ads,2023-08-14,1277.87,43883,213,,False
46,Inauguracao Barra,Tiktok Ads,2023-08-14,524.74,178680,286,,False
47,Inauguracao Barra,Meta Ads,2023-08-15,1098.53,74145,186,,False
48,Inauguracao Barra,Tiktok Ads,2023-08-15,523.62,171593,286,,False
49,Inauguracao Barra,Meta Ads,2023-08-16,1407.32,407291,475,,False
50,Inauguracao Barra,Tiktok Ads,2023-08-16,526.98,158654,273,,False
51,Inauguracao Barra,Meta Ads,2023-08-17,1327.5,256842,423,,False
52,Inauguracao Barra,Tiktok Ads,2023-08-17,523.05,155006,310,,False
53,Inauguracao Barra,Meta Ads,2023-08-18,700.1,124631,198,,False
54,Inauguracao Barra,Tiktok Ads,2023-08-18,524.67,152436,245,,False
55,Inauguracao Barra,Meta Ads,2023-08-19,1431.39,469445,475,,False
56,Inauguracao Barra,Tiktok Ads,2023-08-19,507.81,151620,263,,False
57,Inauguracao Barra,Meta Ads,2023-08-20,1552.44,479752,572,,False
58,Inauguracao Barra,Tiktok Ads,2023-08-20,33.26,17784,36,,False
59,Inauguracao Barra,Meta Ads,2023-08-21,1533.41,482706,612,,False
60,Inauguracao Barra,Tiktok Ads,2023-08-21,387.64,137419,218,,False
61,Inauguracao Barra,Meta Ads,2023-08-22,1393.98,438498,511,,False
62,Inauguracao Barra,Tiktok Ads,2023-08-22,576.22,193642,302,,False
63,Inauguracao Barra,Meta Ads,2023-08-23,760.0,234544,279,,False
64,Inauguracao Barra,Tiktok Ads,2023-08-23,582.29,180739,284,,False
65,Inauguracao Barra,Meta Ads,2023-08-24,1408.08,408582,425,,False
66,Inauguracao Barra,Tiktok Ads,2023-08-24,597.72,167096,261,,False
67,Inauguracao Barra,Meta Ads,2023-08-25,1428.77,366820,396,,False
68,Inauguracao Barra,Tiktok Ads,2023-08-25,531.52,159075,283,,False
69,Inauguracao Barra,Meta Ads,2023-08-26,1579.1,474688,488,,False
70,Inauguracao Barra,Tiktok Ads,2023-08-26,557.91,203130,308,,False
71,Inauguracao Barra,Meta Ads,2023-08-27,1603.97,495629,486,,False
72,Inauguracao Barra,Tiktok Ads,2023-08-27,551.94,190633,357,,False
73,Inauguracao Barra,Meta Ads,2023-08-28,1483.5300000000002,469612,447,,False
74,Inauguracao Barra,Tiktok Ads,2023-08-28,589.44,189144,353,,False
75,Inauguracao Barra,Meta Ads,2023-08-29,1468.83,472708,438,,False
76,Inauguracao Barra,Tiktok Ads,2023-08-29,550.04,175473,275,,False
77,Inauguracao Barra,Meta Ads,2023-08-30,1377.76,400954,330,,False
78,Inauguracao Barra,Tiktok Ads,2023-08-30,567.06,175662,263,,False
79,Inauguracao Barra,Meta Ads,2023-08-31,1427.44,393403,382,,False
80,Inauguracao Barra,Tiktok Ads,2023-08-31,527.2,164774,248,,False
81,Inauguracao Barra,Youtube Ads,2023-08-03,388.4433,17470,119,,False
82,Inauguracao Barra,Youtube Ads,2023-08-04,1275.7338,78918,471,,False
83,Inauguracao Barra,Youtube Ads,2023-08-05,1277.5854,85092,499,,False
84,Inauguracao Barra,Youtube Ads,2023-08-06,1272.5495,84492,403,,False
85,Inauguracao Barra,Youtube Ads,2023-08-07,1276.9694,79926,391,,False
86,Inauguracao Barra,Youtube Ads,2023-08-08,1275.7019,73488,443,,False
87,Inauguracao Barra,Youtube Ads,2023-08-09,1277.3126,99344,367,,False
88,Inauguracao Barra,Youtube Ads,2023-08-10,1277.6859,108409,395,,False
89,Inauguracao Barra,Youtube Ads,2023-08-11,1279.5201,110722,363,,False
90,Inauguracao Barra,Youtube Ads,2023-08-12,1275.8009,117756,371,,False
91,Inauguracao Barra,Youtube Ads,2023-08-13,1276.7863,118954,435,,False
92,Inauguracao Barra,Youtube Ads,2023-08-14,1274.3821,117822,441,,False
93,Inauguracao Barra,Youtube Ads,2023-08-15,1275.0277,118925,349,,False
94,Inauguracao Barra,Youtube Ads,2023-08-16,1277.2601,116098,339,,False
95,Inauguracao Barra,Youtube Ads,2023-08-17,1277.6241,110796,329,,False
96,Inauguracao Barra,Youtube Ads,2023-08-18,1277.902,107055,387,,False
97,Inauguracao Barra,Youtube Ads,2023-08-19,1279.6593,112736,360,,False
98,Inauguracao Barra,Youtube Ads,2023-08-20,1280.6768,115471,356,,False
99,Inauguracao Barra,Youtube Ads,2023-08-21,1279.2121,109439,305,,False
100,Inauguracao Barra,Youtube Ads,2023-08-22,1278.0588,105342,348,,False
101,Inauguracao Barra,Youtube Ads,2023-08-23,1277.6881,110395,329,,False
102,Inauguracao Barra,Youtube Ads,2023-08-24,1277.7297,116523,306,,False
103,Inauguracao Barra,Youtube Ads,2023-08-25,1294.4068,91295,274,,False
104,Inauguracao Barra,Youtube Ads,2023-08-26,1280.4899,96515,360,,False
105,Inauguracao Barra,Youtube Ads,2023-08-27,1281.2336,113038,326,,False
106,Inauguracao Barra,Youtube Ads,2023-08-28,1281.9218999999998,112385,309,,False
107,Inauguracao Barra,Youtube Ads,2023-08-29,1281.7551,114393,358,,False
108,Inauguracao Barra,Youtube Ads,2023-08-30,1288.3351,109531,406,,False
109,Inauguracao Barra,Youtube Ads,2023-08-31,1292.3082,102349,387,,False
110,Inauguracao Barra,Meta Ads,2023-09-01,459.51,213035,164,,False
111,Inauguracao Barra,Tiktok Ads,2023-09-01,237.33,123982,189,,False
112,Inauguracao Barra,Meta Ads,2023-09-02,885.45,354106,238,,False
113,Inauguracao Barra,Tiktok Ads,2023-09-02,489.77,244527,401,,False
114,Inauguracao Barra,Meta Ads,2023-09-03,913.12,380995,322,,False
115,Inauguracao Barra,Tiktok Ads,2023-09-03,488.25,221229,327,,False
116,Inauguracao Barra,Meta Ads,2023-09-04,825.05,355532,277,,False
117,Inauguracao Barra,Tiktok Ads,2023-09-04,500.67,201730,307,,False
118,Inauguracao Barra,Meta Ads,2023-09-05,827.12,361882,281,,False
119,Inauguracao Barra,Tiktok Ads,2023-09-05,482.49,234990,334,,False
120,Inauguracao Barra,Meta Ads,2023-09-06,774.0,328818,252,,False
121,Inauguracao Barra,Tiktok Ads,2023-09-06,497.94,237554,372,,False
122,Inauguracao Barra,Meta Ads,2023-09-07,821.44,356117,245,,False
123,Inauguracao Barra,Tiktok Ads,2023-09-07,484.68,221857,369,,False
124,Inauguracao Barra,Meta Ads,2023-09-08,669.93,312608,237,,False
125,Inauguracao Barra,Tiktok Ads,2023-09-08,490.83,217308,385,,False
126,Inauguracao Barra,Meta Ads,2023-09-09,668.48,331381,230,,False
127,Inauguracao Barra,Tiktok Ads,2023-09-09,487.59,216543,354,,False
128,Inauguracao Barra,Meta Ads,2023-09-10,673.67,336409,249,,False
129,Inauguracao Barra,Tiktok Ads,2023-09-10,485.39,228053,337,,False
130,Inauguracao Barra,Meta Ads,2023-09-11,620.22,310267,240,,False
131,Inauguracao Barra,Tiktok Ads,2023-09-11,246.59,142532,168,,False
132,Inauguracao Barra,Meta Ads,2023-09-12,640.03,304380,230,,False
133,Inauguracao Barra,Tiktok Ads,2023-09-12,168.6,112108,137,,False
134,Inauguracao Barra,Meta Ads,2023-09-13,593.63,271792,220,,False
135,Inauguracao Barra,Tiktok Ads,2023-09-13,167.22,106961,146,,False
136,Inauguracao Barra,Meta Ads,2023-09-14,615.6299999999999,268319,220,,False
137,Inauguracao Barra,Tiktok Ads,2023-09-14,169.54,101553,132,,False
138,Inauguracao Barra,Meta Ads,2023-09-15,620.06,266882,184,,False
139,Inauguracao Barra,Tiktok Ads,2023-09-15,163.72,89624,108,,False
140,Inauguracao Barra,Meta Ads,2023-09-16,664.67,290571,235,,False
141,Inauguracao Barra,Tiktok Ads,2023-09-16,165.23,95074,141,,False
142,Inauguracao Barra,Meta Ads,2023-09-17,685.98,310725,247,,False
143,Inauguracao Barra,Tiktok Ads,2023-09-17,166.29,105172,152,,False
144,Inauguracao Barra,Meta Ads,2023-09-18,607.03,279531,172,,False
145,Inauguracao Barra,Tiktok Ads,2023-09-18,164.8,99722,145,,False
